Product_ID,Product_Name,Category,Sub_Category,Brand,Supplier,Standard_Cost,List_Price
PROD0036,Electronics Laptops 036,Electronics,Laptops,Brand_17,Supplier_14,10506.22,15593.56
PROD0037,Home Kitchen 037,Home,Kitchen,Brand_17,Supplier_16,5750.06,9731.05
PROD0038,Home Furniture 038,Home,Furniture,Brand_12,Supplier_20,4945.46,5926.22
PROD0039,Home Kitchen 039,Home,Kitchen,Brand_04,Supplier_22,578.81,759.95
PROD0040,Home Appliances 040,Home,Appliances,Brand_08,Supplier_29,4431.73,7125.69
PROD0041,Home Kitchen 041,Home,Kitchen,Brand_19,Supplier_11,1288.04,2219.7
PROD0042,Home Decor 042,Home,Decor,Brand_08,Supplier_25,11447.64,19236.44
PROD0043,Home Appliances 043,Home,Appliances,Brand_17,Supplier_28,11222.65,18076.17
PROD0044,Home Kitchen 044,Home,Kitchen,Brand_18,Supplier_17,9623.45,13681.96
PROD0045,Home Kitchen 045,Home,Kitchen,Brand_06,Supplier_03,1843.05,2884.24
PROD0046,Home Appliances 046,Home,Appliances,Brand_04,Supplier_13,3898.36,5767.09
PROD0047,Home Appliances 047,Home,Appliances,Brand_07,Supplier_16,5604.28,7182.73
PROD0048,Home Furniture 048,Home,Furniture,Brand_17,Supplier_24,3355.7,4193.34
PROD0049,Home Kitchen 049,Home,Kitchen,Brand_11,Supplier_22,1040.43,1295.82
PROD0050,Home Kitchen 050,Home,Kitchen,Brand_08,Supplier_22,6230.19,7609.14
PROD0051,Home Kitchen 051,Home,Kitchen,Brand_17,Supplier_05,5654.46,7244.8
PROD0052,Home Appliances 052,Home,Appliances,Brand_08,Supplier_29,11903.99,16337.81
PROD0053,Home Appliances 053,Home,Appliances,Brand_16,Supplier_12,1556.25,2085.37
PROD0054,Home Appliances 054,Home,Appliances,Brand_16,Supplier_06,11623.82,17939.72
PROD0055,Home Appliances 055,Home,Appliances,Brand_12,Supplier_04,489.06,832.15
PROD0056,Home Furniture 056,Home,Furniture,Brand_01,Supplier_20,3313.82,4052.4
PROD0057,Home Furniture 057,Home,Furniture,Brand_17,Supplier_23,7197.56,9379.9
PROD0058,Home Kitchen 058,Home,Kitchen,Brand_10,Supplier_12,1818.81,2824.28
PROD0059,Home Furniture 059,Home,Furniture,Brand_15,Supplier_07,3306.35,4032.23
PROD0060,Home Kitchen 060,Home,Kitchen,Brand_05,Supplier_24,10808.38,15188.92
PROD0061,Home Appliances 061,Home,Appliances,Brand_08,Supplier_23,5363.41,7568.74
PROD0062,Home Kitchen 062,Home,Kitchen,Brand_02,Supplier_18,2500.93,4179.63
PROD0063,Home Furniture 063,Home,Furniture,Brand_19,Supplier_20,2427.87,4222.04
PROD0064,Home Appliances 064,Home,Appliances,Brand_09,Supplier_08,10579.57,14023.42
PROD0065,Home Kitchen 065,Home,Kitchen,Brand_18,Supplier_05,3403.9,4366.12
PROD0066,Home Appliances 066,Home,Appliances,Brand_16,Supplier_29,4788.78,6135.56
PROD0067,Home Appliances 067,Home,Appliances,Brand_04,Supplier_18,2547.4,4228.87
PROD0068,Home Appliances 068,Home,Appliances,Brand_08,Supplier_12,11441.14,14057.37
PROD0069,Home Decor 069,Home,Decor,Brand_01,Supplier_18,3420.13,5482.32
PROD0070,Home Kitchen 070,Home,Kitchen,Brand_13,Supplier_15,8476.22,13770.36
PROD0071,Home Decor 071,Home,Decor,Brand_03,Supplier_12,8290.49,10420.29
PROD0072,Home Kitchen 072,Home,Kitchen,Brand_07,Supplier_01,5544.67,6813.77
PROD0073,Fashion Accessories 073,Fashion,Accessories,Brand_20,Supplier_26,5133.98,8656.25
PROD0074,Fashion Men 074,Fashion,Men,Brand_03,Supplier_08,2213.61,2745.78
PROD0075,Fashion Men 075,Fashion,Men,Brand_14,Supplier_17,10440.83,16358.29
PROD0076,Fashion Footwear 076,Fashion,Footwear,Brand_07,Supplier_19,6297.76,7447.92
PROD0077,Fashion Women 077,Fashion,Women,Brand_20,Supplier_17,605.43,1021.47
PROD0078,Fashion Men 078,Fashion,Men,Brand_17,Supplier_22,7951.35,11816.08
PROD0079,Fashion Footwear 079,Fashion,Footwear,Brand_08,Supplier_30,3545.67,5573.33
PROD0080,Fashion Footwear 080,Fashion,Footwear,Brand_16,Supplier_30,5386.13,7106.65
PROD0081,Fashion Men 081,Fashion,Men,Brand_08,Supplier_10,164.69,255.39
PROD0082,Fashion Accessories 082,Fashion,Accessories,Brand_20,Supplier_21,1858.71,2212.72
PROD0083,Fashion Accessories 083,Fashion,Accessories,Brand_15,Supplier_13,7971.65,13634.93
PROD0084,Fashion Men 084,Fashion,Men,Brand_14,Supplier_05,5779.99,8327.08
PROD0085,Fashion Men 085,Fashion,Men,Brand_05,Supplier_16,6036.53,7374.91
PROD0086,Fashion Footwear 086,Fashion,Footwear,Brand_03,Supplier_28,3445.13,4398.02
PROD0087,Fashion Men 087,Fashion,Men,Brand_20,Supplier_22,2064.83,3396.38
PROD0088,Fashion Accessories 088,Fashion,Accessories,Brand_07,Supplier_08,8969.56,15469.47
PROD0089,Fashion Women 089,Fashion,Women,Brand_02,Supplier_29,11766.61,18354.57
PROD0090,Fashion Men 090,Fashion,Men,Brand_07,Supplier_02,4794.81,6354.08
PROD0091,Fashion Women 091,Fashion,Women,Brand_05,Supplier_03,1366.34,2345.0
PROD0092,Fashion Footwear 092,Fashion,Footwear,Brand_20,Supplier_19,2144.03,3069.95
PROD0093,Fashion Men 093,Fashion,Men,Brand_15,Supplier_07,9741.21,13725.41
PROD0094,Fashion Accessories 094,Fashion,Accessories,Brand_11,Supplier_01,9333.52,12677.35
PROD0095,Fashion Accessories 095,Fashion,Accessories,Brand_06,Supplier_10,1678.51,2134.17
PROD0096,Fashion Women 096,Fashion,Women,Brand_09,Supplier_07,1712.44,2508.21
PROD0097,Fashion Men 097,Fashion,Men,Brand_11,Supplier_06,6512.66,11000.04
PROD0098,Fashion Footwear 098,Fashion,Footwear,Brand_11,Supplier_14,9233.2,15512.35
PROD0099,Fashion Accessories 099,Fashion,Accessories,Brand_10,Supplier_10,3200.05,5204.8
PROD0100,Fashion Women 100,Fashion,Women,Brand_17,Supplier_21,2775.11,4090.74
PROD0101,Fashion Women 101,Fashion,Women,Brand_07,Supplier_04,7673.96,12071.69
PROD0102,Fashion Men 102,Fashion,Men,Brand_10,Supplier_10,3128.13,5276.76
PROD0103,Fashion Accessories 103,Fashion,Accessories,Brand_17,Supplier_19,5408.41,7340.57
PROD0104,Fashion Women 104,Fashion,Women,Brand_13,Supplier_03,3489.39,5323.97
PROD0105,Fashion Footwear 105,Fashion,Footwear,Brand_12,Supplier_02,6539.86,10597.29
PROD0106,Fashion Footwear 106,Fashion,Footwear,Brand_17,Supplier_03,2685.68,4279.13
PROD0107,Fashion Women 107,Fashion,Women,Brand_04,Supplier_28,6882.18,8149.76
PROD0108,Fashion Accessories 108,Fashion,Accessories,Brand_09,Supplier_11,9315.9,12361.97
PROD0109,Beauty Skincare 109,Beauty,Skincare,Brand_02,Supplier_10,5176.11,8971.66
PROD0110,Beauty Skincare 110,Beauty,Skincare,Brand_05,Supplier_20,331.8,448.54
PROD0111,Beauty Skincare 111,Beauty,Skincare,Brand_02,Supplier_01,2879.36,4589.0
PROD0112,Beauty Fragrance 112,Beauty,Fragrance,Brand_15,Supplier_30,10810.09,18905.22
PROD0113,Beauty Haircare 113,Beauty,Haircare,Brand_05,Supplier_22,11600.97,14425.18
PROD0114,Beauty Skincare 114,Beauty,Skincare,Brand_15,Supplier_20,3942.53,5547.1
PROD0115,Beauty Skincare 115,Beauty,Skincare,Brand_08,Supplier_15,11628.75,16930.95
PROD0116,Beauty Makeup 116,Beauty,Makeup,Brand_11,Supplier_13,1473.06,1812.54
PROD0117,Beauty Haircare 117,Beauty,Haircare,Brand_08,Supplier_13,2068.69,2739.8
PROD0118,Beauty Fragrance 118,Beauty,Fragrance,Brand_14,Supplier_02,8777.01,11702.39
PROD0119,Beauty Skincare 119,Beauty,Skincare,Brand_20,Supplier_10,9281.95,15636.32
PROD0120,Beauty Haircare 120,Beauty,Haircare,Brand_11,Supplier_24,4332.47,6528.62
PROD0121,Beauty Fragrance 121,Beauty,Fragrance,Brand_05,Supplier_16,10604.15,15732.26
PROD0122,Beauty Haircare 122,Beauty,Haircare,Brand_17,Supplier_26,4678.27,6342.03
PROD0123,Beauty Skincare 123,Beauty,Skincare,Brand_20,Supplier_11,6289.46,10275.68
PROD0124,Beauty Skincare 124,Beauty,Skincare,Brand_08,Supplier_29,6882.15,10142.95
PROD0125,Beauty Fragrance 125,Beauty,Fragrance,Brand_01,Supplier_24,10101.45,12200.98
PROD0126,Beauty Skincare 126,Beauty,Skincare,Brand_18,Supplier_27,8696.57,11737.65
PROD0127,Beauty Skincare 127,Beauty,Skincare,Brand_08,Supplier_03,2197.4,2851.07
PROD0128,Beauty Makeup 128,Beauty,Makeup,Brand_16,Supplier_27,3708.74,6488.56
PROD0129,Beauty Fragrance 129,Beauty,Fragrance,Brand_01,Supplier_07,3368.66,5163.83
PROD0130,Beauty Haircare 130,Beauty,Haircare,Brand_17,Supplier_09,5430.37,9115.86
PROD0131,Beauty Haircare 131,Beauty,Haircare,Brand_05,Supplier_24,6284.21,8773.69
PROD0132,Beauty Haircare 132,Beauty,Haircare,Brand_11,Supplier_24,2875.65,3901.55
PROD0133,Beauty Skincare 133,Beauty,Skincare,Brand_04,Supplier_08,7349.72,12376.92
PROD0134,Beauty Skincare 134,Beauty,Skincare,Brand_19,Supplier_29,4880.75,6640.83
PROD0135,Beauty Skincare 135,Beauty,Skincare,Brand_01,Supplier_09,8798.64,11613.45
PROD0136,Beauty Fragrance 136,Beauty,Fragrance,Brand_18,Supplier_16,11854.01,14567.99
PROD0137,Beauty Haircare 137,Beauty,Haircare,Brand_07,Supplier_29,1402.91,2135.82
PROD0138,Beauty Skincare 138,Beauty,Skincare,Brand_20,Supplier_21,8161.0,12600.9
PROD0139,Beauty Skincare 139,Beauty,Skincare,Brand_17,Supplier_07,1086.81,1777.94
PROD0140,Beauty Haircare 140,Beauty,Haircare,Brand_14,Supplier_09,9554.02,16058.37
PROD0141,Beauty Fragrance 141,Beauty,Fragrance,Brand_02,Supplier_26,953.4,1258.64
PROD0142,Beauty Skincare 142,Beauty,Skincare,Brand_19,Supplier_11,1763.63,2133.87
PROD0143,Beauty Fragrance 143,Beauty,Fragrance,Brand_19,Supplier_24,3073.37,4810.17
PROD0144,Beauty Haircare 144,Beauty,Haircare,Brand_10,Supplier_19,1375.47,2257.47
PROD0145,Sports Sportswear 145,Sports,Sportswear,Brand_08,Supplier_17,728.06,1029.53
PROD0146,Sports Sportswear 146,Sports,Sportswear,Brand_07,Supplier_27,2228.26,2879.6
PROD0147,Sports Outdoor 147,Sports,Outdoor,Brand_12,Supplier_27,3277.01,5213.69
PROD0148,Sports Equipment 148,Sports,Equipment,Brand_05,Supplier_21,7132.66,8761.87
PROD0149,Sports Equipment 149,Sports,Equipment,Brand_06,Supplier_21,9352.22,15077.01
PROD0150,Sports Fitness 150,Sports,Fitness,Brand_03,Supplier_14,1014.78,1301.37
PROD0151,Sports Fitness 151,Sports,Fitness,Brand_19,Supplier_16,2980.04,3808.36
PROD0152,Sports Equipment 152,Sports,Equipment,Brand_10,Supplier_23,5542.06,8156.28
PROD0153,Sports Outdoor 153,Sports,Outdoor,Brand_09,Supplier_02,5422.61,8234.87
PROD0154,Sports Outdoor 154,Sports,Outdoor,Brand_14,Supplier_21,1670.73,2368.51
PROD0155,Sports Equipment 155,Sports,Equipment,Brand_06,Supplier_28,1955.61,2796.83
PROD0156,Sports Fitness 156,Sports,Fitness,Brand_02,Supplier_14,753.72,891.52
PROD0157,Sports Fitness 157,Sports,Fitness,Brand_05,Supplier_28,10987.8,14323.08
PROD0158,Sports Fitness 158,Sports,Fitness,Brand_04,Supplier_13,11084.16,16109.18
PROD0159,Sports Fitness 159,Sports,Fitness,Brand_05,Supplier_18,1726.2,2880.2
PROD0160,Sports Equipment 160,Sports,Equipment,Brand_19,Supplier_05,5758.16,9056.08
PROD0161,Sports Sportswear 161,Sports,Sportswear,Brand_03,Supplier_29,10592.68,15765.29
PROD0162,Sports Outdoor 162,Sports,Outdoor,Brand_02,Supplier_25,8727.21,14802.17
PROD0163,Sports Fitness 163,Sports,Fitness,Brand_20,Supplier_12,6426.64,9897.91
PROD0164,Sports Equipment 164,Sports,Equipment,Brand_05,Supplier_28,10433.0,15495.6
PROD0165,Sports Outdoor 165,Sports,Outdoor,Brand_05,Supplier_05,9096.28,11488.02
PROD0166,Sports Equipment 166,Sports,Equipment,Brand_16,Supplier_18,4730.02,6336.84
PROD0167,Sports Outdoor 167,Sports,Outdoor,Brand_10,Supplier_13,8526.67,12170.89
PROD0168,Sports Equipment 168,Sports,Equipment,Brand_14,Supplier_04,4604.69,7461.76
PROD0169,Sports Equipment 169,Sports,Equipment,Brand_20,Supplier_24,3879.17,6354.88
PROD0170,Sports Fitness 170,Sports,Fitness,Brand_04,Supplier_24,11972.84,15086.92
PROD0171,Sports Equipment 171,Sports,Equipment,Brand_10,Supplier_06,9673.25,13350.31
PROD0172,Sports Sportswear 172,Sports,Sportswear,Brand_02,Supplier_04,8504.86,13612.05
PROD0173,Sports Outdoor 173,Sports,Outdoor,Brand_09,Supplier_22,1350.94,1727.4
PROD0174,Sports Outdoor 174,Sports,Outdoor,Brand_10,Supplier_29,1882.05,2332.87
PROD0175,Sports Sportswear 175,Sports,Sportswear,Brand_08,Supplier_26,6205.03,8066.73
PROD0176,Sports Equipment 176,Sports,Equipment,Brand_02,Supplier_09,6954.11,12006.69
PROD0177,Sports Equipment 177,Sports,Equipment,Brand_01,Supplier_24,4177.96,6508.8
PROD0178,Sports Outdoor 178,Sports,Outdoor,Brand_13,Supplier_27,2983.14,4622.91
PROD0179,Sports Fitness 179,Sports,Fitness,Brand_14,Supplier_06,11379.03,15031.47
PROD0180,Sports Fitness 180,Sports,Fitness,Brand_11,Supplier_16,1436.38,1990.36
