Order_ID,Order_Date,Customer_ID,Product_ID,Region_ID,Channel,Quantity,Unit_Price,Discount_Percent,Sales_Amount,Cost_Amount,Profit,Payment_Method,Order_Status
ORD000037,2024-10-05,CUST03009,PROD0019,R012,Store,2,9684.46,0.0,19368.92,11582.54,7786.38,Net Banking,Completed
ORD000038,2024-02-08,CUST03671,PROD0121,R002,Store,2,15732.26,0.0,31464.52,21208.3,10256.22,Debit Card,Completed
ORD000039,2024-03-09,CUST01854,PROD0041,R016,Online,6,2219.7,11.9,11733.33,7728.24,4005.09,UPI,Completed
ORD000040,2024-10-03,CUST03642,PROD0046,R021,Online,1,5767.09,8.23,5292.46,3898.36,1394.1,UPI,Completed
ORD000041,2024-04-29,CUST04840,PROD0051,R001,Online,4,7244.8,25.34,21635.87,22617.84,-981.97,Credit Card,Completed
ORD000042,2024-03-26,CUST04013,PROD0098,R024,Online,1,15512.35,4.1,14876.34,9233.2,5643.14,Debit Card,Cancelled
ORD000043,2024-06-25,CUST04519,PROD0003,R011,Store,2,15842.07,0.0,31684.14,22590.06,9094.08,UPI,Completed
ORD000044,2025-08-28,CUST00915,PROD0063,R004,Online,1,4222.04,20.38,3361.59,2427.87,933.72,UPI,Completed
ORD000045,2024-04-01,CUST00904,PROD0166,R018,Store,1,6336.84,13.79,5462.99,4730.02,732.97,Credit Card,Completed
ORD000046,2025-02-23,CUST02301,PROD0145,R012,Online,1,1029.53,5.64,971.46,728.06,243.4,UPI,Completed
ORD000047,2024-03-21,CUST02712,PROD0122,R023,Marketplace,1,6342.03,24.21,4806.62,4678.27,128.35,Cash,Completed
ORD000048,2024-12-06,CUST04981,PROD0068,R020,Online,1,14057.37,6.29,13173.16,11441.14,1732.02,UPI,Completed
ORD000049,2025-02-24,CUST03820,PROD0063,R013,Store,3,4222.04,22.9,9765.58,7283.61,2481.97,UPI,Completed
ORD000050,2024-08-15,CUST04344,PROD0077,R013,Online,3,1021.47,5.73,2888.82,1816.29,1072.53,Debit Card,Completed
ORD000051,2026-06-13,CUST04112,PROD0009,R007,Online,2,6992.14,14.74,11923.0,9421.8,2501.2,Debit Card,Completed
ORD000052,2025-04-17,CUST01421,PROD0158,R007,Store,1,16109.18,7.43,14912.27,11084.16,3828.11,Credit Card,Completed
ORD000053,2024-03-28,CUST05234,PROD0024,R008,Marketplace,1,6673.1,11.77,5887.68,5167.32,720.36,UPI,Completed
ORD000054,2024-12-15,CUST01017,PROD0148,R013,Online,1,8761.87,6.11,8226.52,7132.66,1093.86,UPI,Completed
ORD000055,2025-10-01,CUST04510,PROD0050,R001,Store,2,7609.14,0.0,15218.28,12460.38,2757.9,UPI,Completed
ORD000056,2026-03-20,CUST01165,PROD0095,R002,Marketplace,2,2134.17,14.48,3650.28,3357.02,293.26,UPI,Completed
ORD000057,2024-07-08,CUST01749,PROD0160,R025,Store,2,9056.08,0.0,18112.16,11516.32,6595.84,Credit Card,Completed
ORD000058,2026-05-16,CUST00339,PROD0135,R020,Online,1,11613.45,8.65,10608.89,8798.64,1810.25,Credit Card,Completed
ORD000059,2025-10-07,CUST02203,PROD0036,R014,Marketplace,1,15593.56,16.79,12975.4,10506.22,2469.18,UPI,Completed
ORD000060,2024-05-15,CUST04518,PROD0005,R023,Online,1,5395.83,23.87,4107.85,4511.0,-403.15,UPI,Completed
ORD000061,2024-11-20,CUST00492,PROD0127,R004,Online,3,2851.07,17.47,7058.96,6592.2,466.76,UPI,Completed
ORD000062,2024-02-09,CUST00038,PROD0128,R010,Online,1,6488.56,0.0,6488.56,3708.74,2779.82,UPI,Completed
ORD000063,2025-10-11,CUST03251,PROD0066,R012,Marketplace,4,6135.56,10.03,22080.65,19155.12,2925.53,UPI,Cancelled
ORD000064,2024-10-13,CUST03223,PROD0137,R011,Online,3,2135.82,2.59,6241.51,4208.73,2032.78,UPI,Completed
ORD000065,2024-09-12,CUST04752,PROD0026,R018,Online,1,12026.19,6.0,11304.62,7027.37,4277.25,UPI,Pending
ORD000066,2026-03-08,CUST05166,PROD0030,R019,Online,4,10355.74,14.71,35329.64,26140.28,9189.36,Debit Card,Completed
ORD000067,2025-08-19,CUST05848,PROD0005,R013,Marketplace,1,5395.83,12.21,4737.0,4511.0,226.0,Credit Card,Completed
ORD000068,2025-02-23,CUST02559,PROD0171,R008,Marketplace,2,13350.31,0.0,26700.62,19346.5,7354.12,Credit Card,Completed
ORD000069,2026-04-08,CUST00940,PROD0148,R010,Online,3,8761.87,5.14,24934.53,21397.98,3536.55,UPI,Completed
ORD000070,2025-06-22,CUST02768,PROD0112,R002,Store,4,18905.22,12.26,66349.76,43240.36,23109.4,Net Banking,Completed
ORD000071,2026-01-11,CUST05553,PROD0070,R005,Store,1,13770.36,14.17,11819.1,8476.22,3342.88,Net Banking,Completed
ORD000072,2024-10-17,CUST01424,PROD0136,R020,Marketplace,3,14567.99,3.02,42384.11,35562.03,6822.08,UPI,Completed
ORD000073,2024-11-11,CUST02458,PROD0076,R009,Online,3,7447.92,7.0,20779.7,18893.28,1886.42,UPI,Completed
ORD000074,2026-03-10,CUST04329,PROD0090,R007,Online,4,6354.08,8.64,23220.35,19179.24,4041.11,Credit Card,Completed
ORD000075,2026-05-07,CUST01210,PROD0020,R008,Online,1,4124.29,6.04,3875.18,2372.24,1502.94,Net Banking,Completed
ORD000076,2024-05-11,CUST02920,PROD0168,R017,Online,2,7461.76,9.86,13452.06,9209.38,4242.68,Debit Card,Completed
ORD000077,2025-08-25,CUST04835,PROD0104,R001,Online,1,5323.97,6.78,4963.0,3489.39,1473.61,Debit Card,Completed
ORD000078,2026-05-17,CUST03269,PROD0088,R016,Store,3,15469.47,2.2,45387.42,26908.68,18478.74,Net Banking,Completed
ORD000079,2026-01-10,CUST03737,PROD0072,R010,Online,1,6813.77,9.09,6194.4,5544.67,649.73,Cash,Completed
ORD000080,2025-06-22,CUST01387,PROD0016,R004,Marketplace,5,5085.97,9.99,22889.41,15852.6,7036.81,UPI,Cancelled
ORD000081,2024-10-29,CUST00863,PROD0149,R008,Store,1,15077.01,7.97,13875.37,9352.22,4523.15,Net Banking,Completed
ORD000082,2026-06-20,CUST02039,PROD0124,R009,Online,2,10142.95,16.3,16979.3,13764.3,3215.0,Net Banking,Completed
ORD000083,2024-10-08,CUST02258,PROD0086,R020,Online,3,4398.02,11.79,11638.48,10335.39,1303.09,UPI,Completed
ORD000084,2025-05-06,CUST04071,PROD0085,R016,Online,3,7374.91,1.92,21699.94,18109.59,3590.35,Net Banking,Completed
ORD000085,2024-10-06,CUST03008,PROD0021,R023,Marketplace,2,18499.86,0.0,36999.72,21952.52,15047.2,Cash,Completed
ORD000086,2025-05-14,CUST02544,PROD0172,R012,Online,2,13612.05,2.89,26437.32,17009.72,9427.6,Net Banking,Completed
ORD000087,2024-07-17,CUST00929,PROD0088,R012,Online,4,15469.47,6.4,57917.7,35878.24,22039.46,Net Banking,Completed
ORD000088,2025-01-09,CUST05101,PROD0081,R007,Marketplace,6,255.39,8.11,1408.07,988.14,419.93,Net Banking,Completed
ORD000089,2024-10-26,CUST02179,PROD0126,R020,Store,4,11737.65,5.19,44513.86,34786.28,9727.58,UPI,Completed
ORD000090,2026-06-28,CUST00436,PROD0133,R024,Marketplace,1,12376.92,11.9,10904.07,7349.72,3554.35,UPI,Completed
ORD000091,2026-06-27,CUST02906,PROD0139,R003,Online,2,1777.94,0.0,3555.88,2173.62,1382.26,Cash,Completed
ORD000092,2025-10-27,CUST04956,PROD0070,R002,Online,1,13770.36,10.85,12276.28,8476.22,3800.06,Net Banking,Completed
ORD000093,2024-10-25,CUST05681,PROD0137,R021,Online,3,2135.82,14.89,5453.39,4208.73,1244.66,Net Banking,Completed
ORD000094,2025-07-08,CUST02213,PROD0157,R004,Online,2,14323.08,24.9,21513.27,21975.6,-462.33,Credit Card,Completed
ORD000095,2024-11-17,CUST02119,PROD0121,R001,Online,1,15732.26,10.07,14148.02,10604.15,3543.87,UPI,Completed
ORD000096,2024-04-19,CUST01308,PROD0167,R012,Store,4,12170.89,16.5,40650.77,34106.68,6544.09,Credit Card,Pending
ORD000097,2025-09-14,CUST05152,PROD0134,R022,Marketplace,1,6640.83,8.84,6053.78,4880.75,1173.03,Net Banking,Completed
ORD000098,2025-04-15,CUST00169,PROD0006,R006,Online,2,13675.14,10.94,24358.16,18537.78,5820.38,Credit Card,Completed
ORD000099,2025-02-15,CUST00420,PROD0084,R001,Online,1,8327.08,8.81,7593.46,5779.99,1813.47,UPI,Completed
ORD000100,2025-05-27,CUST04182,PROD0155,R018,Online,4,2796.83,12.18,9824.7,7822.44,2002.26,Credit Card,Completed
ORD000101,2025-04-24,CUST03977,PROD0015,R018,Store,4,18083.63,12.02,63639.91,47350.56,16289.35,UPI,Completed
ORD000102,2024-05-19,CUST05905,PROD0088,R014,Store,2,15469.47,24.76,23278.46,17939.12,5339.34,Credit Card,Completed
ORD000103,2026-05-27,CUST04625,PROD0089,R003,Marketplace,1,18354.57,4.75,17482.73,11766.61,5716.12,UPI,Completed
ORD000104,2025-11-20,CUST05688,PROD0067,R001,Online,3,4228.87,15.33,10741.75,7642.2,3099.55,UPI,Completed
ORD000105,2025-05-18,CUST04842,PROD0117,R014,Online,3,2739.8,14.23,7049.78,6206.07,843.71,UPI,Completed
ORD000106,2024-02-29,CUST00139,PROD0076,R001,Store,6,7447.92,0.0,44687.52,37786.56,6900.96,Net Banking,Completed
ORD000107,2024-07-01,CUST00301,PROD0093,R018,Online,1,13725.41,12.52,12006.99,9741.21,2265.78,UPI,Completed
ORD000108,2025-02-22,CUST02905,PROD0114,R011,Store,1,5547.1,12.28,4865.92,3942.53,923.39,UPI,Completed
ORD000109,2026-03-04,CUST00529,PROD0009,R002,Online,2,6992.14,13.91,12039.07,9421.8,2617.27,UPI,Completed
ORD000110,2026-04-04,CUST02523,PROD0019,R017,Online,1,9684.46,0.69,9617.64,5791.27,3826.37,UPI,Completed
ORD000111,2026-06-26,CUST03706,PROD0042,R007,Online,1,19236.44,9.34,17439.76,11447.64,5992.12,Credit Card,Completed
ORD000112,2026-01-02,CUST03639,PROD0089,R023,Online,1,18354.57,18.75,14913.09,11766.61,3146.48,UPI,Completed
ORD000113,2026-06-19,CUST05381,PROD0034,R022,Store,1,15512.32,5.76,14618.81,9428.55,5190.26,UPI,Pending
ORD000114,2024-08-14,CUST00107,PROD0029,R017,Store,1,13777.49,13.44,11925.8,9521.15,2404.65,UPI,Pending
ORD000115,2025-01-25,CUST03704,PROD0023,R005,Online,6,12094.54,17.02,60216.3,55878.3,4338.0,Credit Card,Completed
ORD000116,2024-05-23,CUST05453,PROD0038,R021,Online,2,5926.22,14.0,10193.1,9890.92,302.18,Cash,Cancelled
ORD000117,2026-01-05,CUST03835,PROD0015,R006,Online,3,18083.63,2.12,53100.77,35512.92,17587.85,Cash,Completed
ORD000118,2025-07-17,CUST01862,PROD0115,R013,Online,1,16930.95,6.62,15810.12,11628.75,4181.37,UPI,Completed
ORD000119,2025-08-15,CUST00042,PROD0178,R019,Online,1,4622.91,14.02,3974.78,2983.14,991.64,UPI,Completed
ORD000120,2025-10-22,CUST05955,PROD0122,R010,Online,1,6342.03,18.03,5198.56,4678.27,520.29,UPI,Completed
ORD000121,2024-01-27,CUST00131,PROD0074,R021,Online,4,2745.78,1.43,10826.06,8854.44,1971.62,UPI,Completed
ORD000122,2026-01-13,CUST03169,PROD0013,R011,Store,1,10350.0,15.12,8785.08,7215.59,1569.49,Net Banking,Completed
ORD000123,2025-09-14,CUST00834,PROD0038,R017,Online,6,5926.22,8.89,32396.27,29672.76,2723.51,Cash,Completed
ORD000124,2025-05-22,CUST05405,PROD0069,R013,Online,1,5482.32,4.64,5227.94,3420.13,1807.81,UPI,Completed
ORD000125,2026-06-02,CUST04999,PROD0173,R003,Online,2,1727.4,7.0,3212.96,2701.88,511.08,Debit Card,Completed
ORD000126,2025-08-13,CUST01644,PROD0156,R010,Online,4,891.52,0.26,3556.81,3014.88,541.93,Debit Card,Cancelled
ORD000127,2026-03-01,CUST01202,PROD0139,R002,Online,6,1777.94,15.67,8996.02,6520.86,2475.16,UPI,Completed
ORD000128,2024-05-06,CUST00789,PROD0025,R010,Store,2,5285.3,7.31,9797.89,6557.08,3240.81,Net Banking,Completed
ORD000129,2025-03-31,CUST01241,PROD0037,R008,Marketplace,2,9731.05,5.78,18337.19,11500.12,6837.07,Cash,Completed
ORD000130,2024-10-07,CUST04489,PROD0146,R022,Online,3,2879.6,15.15,7330.02,6684.78,645.24,Credit Card,Completed
ORD000131,2025-01-29,CUST05820,PROD0051,R021,Online,1,7244.8,9.69,6542.78,5654.46,888.32,Debit Card,Completed
ORD000132,2024-11-14,CUST02360,PROD0140,R023,Online,3,16058.37,11.7,42538.62,28662.06,13876.56,Debit Card,Completed
ORD000133,2025-03-16,CUST04613,PROD0130,R014,Online,6,9115.86,16.87,45468.09,32582.22,12885.87,UPI,Completed
ORD000134,2024-12-06,CUST03549,PROD0129,R023,Online,1,5163.83,13.45,4469.29,3368.66,1100.63,Net Banking,Cancelled
ORD000135,2025-11-24,CUST01819,PROD0017,R025,Store,2,9986.93,9.14,18148.25,16481.34,1666.91,UPI,Completed
ORD000136,2024-04-28,CUST01639,PROD0024,R010,Online,4,6673.1,8.58,24402.19,20669.28,3732.91,UPI,Completed
ORD000137,2026-02-16,CUST01300,PROD0165,R009,Online,3,11488.02,1.6,33912.64,27288.84,6623.8,Net Banking,Completed
ORD000138,2025-11-20,CUST00640,PROD0036,R022,Store,2,15593.56,0.0,31187.12,21012.44,10174.68,UPI,Completed
ORD000139,2025-12-13,CUST00285,PROD0157,R017,Online,1,14323.08,18.77,11634.64,10987.8,646.84,UPI,Completed
ORD000140,2025-01-02,CUST01271,PROD0172,R023,Online,4,13612.05,0.0,54448.2,34019.44,20428.76,UPI,Completed
ORD000141,2025-01-19,CUST05331,PROD0051,R007,Store,5,7244.8,1.93,35524.88,28272.3,7252.58,UPI,Completed
ORD000142,2025-05-24,CUST03169,PROD0174,R011,Online,1,2332.87,6.51,2181.0,1882.05,298.95,Net Banking,Completed
ORD000143,2025-08-04,CUST00648,PROD0110,R012,Online,2,448.54,1.77,881.2,663.6,217.6,UPI,Cancelled
ORD000144,2024-06-06,CUST03230,PROD0072,R002,Marketplace,1,6813.77,8.98,6201.89,5544.67,657.22,Debit Card,Completed
ORD000145,2026-04-02,CUST03324,PROD0048,R017,Store,5,4193.34,18.25,17140.28,16778.5,361.78,Cash,Completed
ORD000146,2025-09-01,CUST02914,PROD0150,R010,Store,1,1301.37,16.22,1090.29,1014.78,75.51,Debit Card,Completed
ORD000147,2025-12-17,CUST04481,PROD0025,R023,Online,2,5285.3,14.41,9047.38,6557.08,2490.3,UPI,Completed
ORD000148,2024-03-26,CUST01491,PROD0073,R001,Online,2,8656.25,0.95,17148.03,10267.96,6880.07,UPI,Cancelled
ORD000149,2026-06-20,CUST01015,PROD0081,R025,Online,1,255.39,11.12,226.99,164.69,62.3,UPI,Completed
ORD000150,2024-12-26,CUST05806,PROD0017,R005,Store,4,9986.93,11.79,35237.88,32962.68,2275.2,UPI,Completed
ORD000151,2026-03-02,CUST02834,PROD0024,R013,Online,4,6673.1,3.19,25840.91,20669.28,5171.63,Credit Card,Completed
ORD000152,2024-03-25,CUST04407,PROD0131,R021,Online,1,8773.69,3.49,8467.49,6284.21,2183.28,UPI,Completed
ORD000153,2024-12-24,CUST02641,PROD0015,R012,Online,1,18083.63,8.67,16515.78,11837.64,4678.14,UPI,Pending
ORD000154,2025-12-27,CUST00106,PROD0173,R018,Marketplace,2,1727.4,12.5,3022.95,2701.88,321.07,UPI,Completed
ORD000155,2024-05-12,CUST02591,PROD0002,R021,Store,5,6109.4,0.0,30547.0,22329.4,8217.6,UPI,Completed
ORD000156,2026-06-21,CUST02112,PROD0010,R008,Online,1,11772.01,7.69,10866.74,9086.18,1780.56,UPI,Cancelled
ORD000157,2025-01-21,CUST05396,PROD0141,R006,Online,4,1258.64,10.28,4517.01,3813.6,703.41,UPI,Completed
ORD000158,2024-09-03,CUST02333,PROD0013,R011,Marketplace,1,10350.0,0.0,10350.0,7215.59,3134.41,UPI,Completed
ORD000159,2024-05-20,CUST04011,PROD0155,R004,Marketplace,3,2796.83,1.87,8233.59,5866.83,2366.76,Credit Card,Completed
ORD000160,2025-03-22,CUST04053,PROD0082,R001,Store,2,2212.72,10.37,3966.52,3717.42,249.1,Credit Card,Completed
ORD000161,2024-03-16,CUST02231,PROD0001,R012,Store,1,12001.3,3.24,11612.46,8193.95,3418.51,UPI,Completed
ORD000162,2026-06-20,CUST00926,PROD0043,R013,Online,6,18076.17,5.66,102318.35,67335.9,34982.45,UPI,Completed
ORD000163,2024-04-07,CUST02593,PROD0126,R020,Online,4,11737.65,13.4,40659.22,34786.28,5872.94,UPI,Completed
ORD000164,2024-10-29,CUST02706,PROD0097,R021,Store,1,11000.04,13.16,9552.43,6512.66,3039.77,Credit Card,Completed
ORD000165,2025-04-10,CUST02993,PROD0175,R001,Store,2,8066.73,11.8,14229.71,12410.06,1819.65,UPI,Completed
ORD000166,2024-02-24,CUST04277,PROD0107,R011,Marketplace,5,8149.76,9.38,36926.56,34410.9,2515.66,Cash,Completed
ORD000167,2024-10-31,CUST04362,PROD0018,R007,Online,5,12486.26,8.77,56956.07,51718.45,5237.62,Net Banking,Completed
ORD000168,2026-02-09,CUST05660,PROD0016,R022,Online,2,5085.97,9.82,9173.06,6341.04,2832.02,Net Banking,Completed
ORD000169,2025-06-17,CUST01377,PROD0043,R005,Marketplace,2,18076.17,13.19,31383.85,22445.3,8938.55,Net Banking,Completed
ORD000170,2024-02-04,CUST04583,PROD0034,R019,Store,2,15512.32,14.64,26482.63,18857.1,7625.53,UPI,Pending
ORD000171,2025-06-23,CUST04987,PROD0044,R008,Online,2,13681.96,6.01,25719.35,19246.9,6472.45,Credit Card,Completed
ORD000172,2025-05-03,CUST00914,PROD0129,R017,Online,3,5163.83,6.56,14475.25,10105.98,4369.27,Debit Card,Completed
ORD000173,2025-11-12,CUST05995,PROD0061,R007,Online,1,7568.74,17.71,6228.32,5363.41,864.91,UPI,Completed
ORD000174,2024-05-19,CUST03645,PROD0179,R014,Online,2,15031.47,12.01,26452.38,22758.06,3694.32,UPI,Completed
ORD000175,2025-10-02,CUST02953,PROD0059,R016,Store,2,4032.23,4.06,7737.04,6612.7,1124.34,Net Banking,Completed
ORD000176,2024-04-09,CUST05719,PROD0166,R018,Store,3,6336.84,7.47,17590.43,14190.06,3400.37,UPI,Completed
ORD000177,2025-01-07,CUST02714,PROD0008,R020,Store,3,8891.61,16.55,22260.15,15544.92,6715.23,UPI,Pending
ORD000178,2026-01-28,CUST05105,PROD0092,R004,Online,1,3069.95,0.0,3069.95,2144.03,925.92,UPI,Completed
ORD000179,2024-01-23,CUST02593,PROD0176,R020,Online,1,12006.69,10.46,10750.79,6954.11,3796.68,UPI,Completed
ORD000180,2026-05-18,CUST01040,PROD0121,R003,Online,2,15732.26,6.25,29497.99,21208.3,8289.69,UPI,Completed
ORD000181,2024-10-10,CUST01875,PROD0019,R018,Marketplace,3,9684.46,14.98,24701.18,17373.81,7327.37,Cash,Completed
ORD000182,2024-04-22,CUST00523,PROD0102,R022,Marketplace,3,5276.76,5.35,14983.36,9384.39,5598.97,UPI,Completed
ORD000183,2025-01-07,CUST03054,PROD0147,R010,Online,3,5213.69,0.0,15641.07,9831.03,5810.04,Net Banking,Cancelled
ORD000184,2024-07-15,CUST05228,PROD0015,R018,Store,2,18083.63,3.44,34923.11,23675.28,11247.83,UPI,Completed
ORD000185,2024-06-12,CUST04712,PROD0087,R007,Store,2,3396.38,15.52,5738.52,4129.66,1608.86,Credit Card,Completed
ORD000186,2026-06-11,CUST04414,PROD0031,R005,Online,1,3348.21,0.0,3348.21,2059.62,1288.59,Credit Card,Completed
ORD000187,2026-04-01,CUST01690,PROD0099,R018,Online,1,5204.8,7.87,4795.18,3200.05,1595.13,UPI,Completed
ORD000188,2025-03-06,CUST01143,PROD0099,R004,Online,1,5204.8,0.18,5195.43,3200.05,1995.38,Credit Card,Completed
ORD000189,2025-07-21,CUST02049,PROD0115,R011,Online,1,16930.95,8.08,15562.93,11628.75,3934.18,UPI,Completed
ORD000190,2024-01-10,CUST00742,PROD0060,R005,Marketplace,3,15188.92,11.68,40244.56,32425.14,7819.42,UPI,Completed
ORD000191,2025-10-06,CUST04876,PROD0170,R004,Online,1,15086.92,11.03,13422.83,11972.84,1449.99,UPI,Completed
ORD000192,2025-02-01,CUST00313,PROD0179,R025,Store,1,15031.47,9.12,13660.6,11379.03,2281.57,Debit Card,Completed
ORD000193,2024-05-31,CUST03145,PROD0082,R020,Online,6,2212.72,8.49,12149.16,11152.26,996.9,Credit Card,Completed
ORD000194,2024-07-09,CUST05627,PROD0031,R003,Online,1,3348.21,7.23,3106.13,2059.62,1046.51,Credit Card,Completed
ORD000195,2026-03-06,CUST00607,PROD0174,R023,Online,5,2332.87,18.92,9457.45,9410.25,47.2,Net Banking,Completed
ORD000196,2024-10-03,CUST04243,PROD0111,R004,Online,2,4589.0,3.84,8825.56,5758.72,3066.84,Credit Card,Completed
ORD000197,2025-05-07,CUST01632,PROD0075,R006,Online,2,16358.29,8.45,29952.03,20881.66,9070.37,Cash,Completed
ORD000198,2024-08-30,CUST04383,PROD0153,R009,Online,4,8234.87,14.34,28215.96,21690.44,6525.52,Debit Card,Pending
ORD000199,2025-05-02,CUST00022,PROD0082,R018,Store,5,2212.72,5.29,10478.34,9293.55,1184.79,UPI,Completed
ORD000200,2026-04-23,CUST03028,PROD0016,R008,Online,6,5085.97,18.75,24794.1,19023.12,5770.98,Net Banking,Completed
ORD000201,2024-10-02,CUST04217,PROD0060,R020,Marketplace,3,15188.92,7.48,42158.37,32425.14,9733.23,Credit Card,Completed
ORD000202,2024-07-08,CUST05196,PROD0114,R004,Marketplace,3,5547.1,1.54,16385.02,11827.59,4557.43,Debit Card,Cancelled
ORD000203,2025-09-18,CUST05203,PROD0071,R006,Online,1,10420.29,10.43,9333.45,8290.49,1042.96,Credit Card,Completed
ORD000204,2026-05-13,CUST02405,PROD0143,R025,Store,2,4810.17,0.69,9553.96,6146.74,3407.22,Credit Card,Completed
ORD000205,2024-11-02,CUST02626,PROD0081,R007,Store,3,255.39,3.44,739.81,494.07,245.74,Debit Card,Completed
ORD000206,2026-05-19,CUST03332,PROD0121,R014,Store,6,15732.26,2.01,92496.25,63624.9,28871.35,UPI,Completed
ORD000207,2024-10-22,CUST04766,PROD0120,R022,Online,1,6528.62,3.27,6315.13,4332.47,1982.66,Debit Card,Completed
ORD000208,2024-08-21,CUST00954,PROD0075,R017,Online,4,16358.29,5.06,62122.24,41763.32,20358.92,Credit Card,Completed
