Date,Year,Quarter,Month_Number,Month_Name,Week_Number,Day_Name,Is_Weekend,Financial_Year
2024-06-13,2024,Q2,6,June,24,Thursday,False,FY2025-26
2024-06-14,2024,Q2,6,June,24,Friday,False,FY2025-26
2024-06-15,2024,Q2,6,June,24,Saturday,True,FY2025-26
2024-06-16,2024,Q2,6,June,24,Sunday,True,FY2025-26
2024-06-17,2024,Q2,6,June,25,Monday,False,FY2025-26
2024-06-18,2024,Q2,6,June,25,Tuesday,False,FY2025-26
2024-06-19,2024,Q2,6,June,25,Wednesday,False,FY2025-26
2024-06-20,2024,Q2,6,June,25,Thursday,False,FY2025-26
2024-06-21,2024,Q2,6,June,25,Friday,False,FY2025-26
2024-06-22,2024,Q2,6,June,25,Saturday,True,FY2025-26
2024-06-23,2024,Q2,6,June,25,Sunday,True,FY2025-26
2024-06-24,2024,Q2,6,June,26,Monday,False,FY2025-26
2024-06-25,2024,Q2,6,June,26,Tuesday,False,FY2025-26
2024-06-26,2024,Q2,6,June,26,Wednesday,False,FY2025-26
2024-06-27,2024,Q2,6,June,26,Thursday,False,FY2025-26
2024-06-28,2024,Q2,6,June,26,Friday,False,FY2025-26
2024-06-29,2024,Q2,6,June,26,Saturday,True,FY2025-26
2024-06-30,2024,Q2,6,June,26,Sunday,True,FY2025-26
2024-07-01,2024,Q3,7,July,27,Monday,False,FY2025-26
2024-07-02,2024,Q3,7,July,27,Tuesday,False,FY2025-26
2024-07-03,2024,Q3,7,July,27,Wednesday,False,FY2025-26
2024-07-04,2024,Q3,7,July,27,Thursday,False,FY2025-26
2024-07-05,2024,Q3,7,July,27,Friday,False,FY2025-26
2024-07-06,2024,Q3,7,July,27,Saturday,True,FY2025-26
2024-07-07,2024,Q3,7,July,27,Sunday,True,FY2025-26
2024-07-08,2024,Q3,7,July,28,Monday,False,FY2025-26
2024-07-09,2024,Q3,7,July,28,Tuesday,False,FY2025-26
2024-07-10,2024,Q3,7,July,28,Wednesday,False,FY2025-26
2024-07-11,2024,Q3,7,July,28,Thursday,False,FY2025-26
2024-07-12,2024,Q3,7,July,28,Friday,False,FY2025-26
2024-07-13,2024,Q3,7,July,28,Saturday,True,FY2025-26
2024-07-14,2024,Q3,7,July,28,Sunday,True,FY2025-26
2024-07-15,2024,Q3,7,July,29,Monday,False,FY2025-26
2024-07-16,2024,Q3,7,July,29,Tuesday,False,FY2025-26
2024-07-17,2024,Q3,7,July,29,Wednesday,False,FY2025-26
2024-07-18,2024,Q3,7,July,29,Thursday,False,FY2025-26
2024-07-19,2024,Q3,7,July,29,Friday,False,FY2025-26
2024-07-20,2024,Q3,7,July,29,Saturday,True,FY2025-26
2024-07-21,2024,Q3,7,July,29,Sunday,True,FY2025-26
2024-07-22,2024,Q3,7,July,30,Monday,False,FY2025-26
2024-07-23,2024,Q3,7,July,30,Tuesday,False,FY2025-26
2024-07-24,2024,Q3,7,July,30,Wednesday,False,FY2025-26
2024-07-25,2024,Q3,7,July,30,Thursday,False,FY2025-26
2024-07-26,2024,Q3,7,July,30,Friday,False,FY2025-26
2024-07-27,2024,Q3,7,July,30,Saturday,True,FY2025-26
2024-07-28,2024,Q3,7,July,30,Sunday,True,FY2025-26
2024-07-29,2024,Q3,7,July,31,Monday,False,FY2025-26
2024-07-30,2024,Q3,7,July,31,Tuesday,False,FY2025-26
2024-07-31,2024,Q3,7,July,31,Wednesday,False,FY2025-26
2024-08-01,2024,Q3,8,August,31,Thursday,False,FY2025-26
2024-08-02,2024,Q3,8,August,31,Friday,False,FY2025-26
2024-08-03,2024,Q3,8,August,31,Saturday,True,FY2025-26
2024-08-04,2024,Q3,8,August,31,Sunday,True,FY2025-26
2024-08-05,2024,Q3,8,August,32,Monday,False,FY2025-26
2024-08-06,2024,Q3,8,August,32,Tuesday,False,FY2025-26
2024-08-07,2024,Q3,8,August,32,Wednesday,False,FY2025-26
2024-08-08,2024,Q3,8,August,32,Thursday,False,FY2025-26
2024-08-09,2024,Q3,8,August,32,Friday,False,FY2025-26
2024-08-10,2024,Q3,8,August,32,Saturday,True,FY2025-26
2024-08-11,2024,Q3,8,August,32,Sunday,True,FY2025-26
2024-08-12,2024,Q3,8,August,33,Monday,False,FY2025-26
2024-08-13,2024,Q3,8,August,33,Tuesday,False,FY2025-26
2024-08-14,2024,Q3,8,August,33,Wednesday,False,FY2025-26
2024-08-15,2024,Q3,8,August,33,Thursday,False,FY2025-26
2024-08-16,2024,Q3,8,August,33,Friday,False,FY2025-26
2024-08-17,2024,Q3,8,August,33,Saturday,True,FY2025-26
2024-08-18,2024,Q3,8,August,33,Sunday,True,FY2025-26
2024-08-19,2024,Q3,8,August,34,Monday,False,FY2025-26
2024-08-20,2024,Q3,8,August,34,Tuesday,False,FY2025-26
2024-08-21,2024,Q3,8,August,34,Wednesday,False,FY2025-26
2024-08-22,2024,Q3,8,August,34,Thursday,False,FY2025-26
2024-08-23,2024,Q3,8,August,34,Friday,False,FY2025-26
2024-08-24,2024,Q3,8,August,34,Saturday,True,FY2025-26
2024-08-25,2024,Q3,8,August,34,Sunday,True,FY2025-26
2024-08-26,2024,Q3,8,August,35,Monday,False,FY2025-26
2024-08-27,2024,Q3,8,August,35,Tuesday,False,FY2025-26
2024-08-28,2024,Q3,8,August,35,Wednesday,False,FY2025-26
2024-08-29,2024,Q3,8,August,35,Thursday,False,FY2025-26
2024-08-30,2024,Q3,8,August,35,Friday,False,FY2025-26
2024-08-31,2024,Q3,8,August,35,Saturday,True,FY2025-26
2024-09-01,2024,Q3,9,September,35,Sunday,True,FY2025-26
2024-09-02,2024,Q3,9,September,36,Monday,False,FY2025-26
2024-09-03,2024,Q3,9,September,36,Tuesday,False,FY2025-26
2024-09-04,2024,Q3,9,September,36,Wednesday,False,FY2025-26
2024-09-05,2024,Q3,9,September,36,Thursday,False,FY2025-26
2024-09-06,2024,Q3,9,September,36,Friday,False,FY2025-26
2024-09-07,2024,Q3,9,September,36,Saturday,True,FY2025-26
2024-09-08,2024,Q3,9,September,36,Sunday,True,FY2025-26
2024-09-09,2024,Q3,9,September,37,Monday,False,FY2025-26
2024-09-10,2024,Q3,9,September,37,Tuesday,False,FY2025-26
2024-09-11,2024,Q3,9,September,37,Wednesday,False,FY2025-26
2024-09-12,2024,Q3,9,September,37,Thursday,False,FY2025-26
2024-09-13,2024,Q3,9,September,37,Friday,False,FY2025-26
2024-09-14,2024,Q3,9,September,37,Saturday,True,FY2025-26
2024-09-15,2024,Q3,9,September,37,Sunday,True,FY2025-26
2024-09-16,2024,Q3,9,September,38,Monday,False,FY2025-26
2024-09-17,2024,Q3,9,September,38,Tuesday,False,FY2025-26
2024-09-18,2024,Q3,9,September,38,Wednesday,False,FY2025-26
2024-09-19,2024,Q3,9,September,38,Thursday,False,FY2025-26
2024-09-20,2024,Q3,9,September,38,Friday,False,FY2025-26
2024-09-21,2024,Q3,9,September,38,Saturday,True,FY2025-26
2024-09-22,2024,Q3,9,September,38,Sunday,True,FY2025-26
2024-09-23,2024,Q3,9,September,39,Monday,False,FY2025-26
2024-09-24,2024,Q3,9,September,39,Tuesday,False,FY2025-26
2024-09-25,2024,Q3,9,September,39,Wednesday,False,FY2025-26
2024-09-26,2024,Q3,9,September,39,Thursday,False,FY2025-26
2024-09-27,2024,Q3,9,September,39,Friday,False,FY2025-26
2024-09-28,2024,Q3,9,September,39,Saturday,True,FY2025-26
2024-09-29,2024,Q3,9,September,39,Sunday,True,FY2025-26
2024-09-30,2024,Q3,9,September,40,Monday,False,FY2025-26
2024-10-01,2024,Q4,10,October,40,Tuesday,False,FY2025-26
2024-10-02,2024,Q4,10,October,40,Wednesday,False,FY2025-26
2024-10-03,2024,Q4,10,October,40,Thursday,False,FY2025-26
2024-10-04,2024,Q4,10,October,40,Friday,False,FY2025-26
2024-10-05,2024,Q4,10,October,40,Saturday,True,FY2025-26
2024-10-06,2024,Q4,10,October,40,Sunday,True,FY2025-26
2024-10-07,2024,Q4,10,October,41,Monday,False,FY2025-26
2024-10-08,2024,Q4,10,October,41,Tuesday,False,FY2025-26
2024-10-09,2024,Q4,10,October,41,Wednesday,False,FY2025-26
2024-10-10,2024,Q4,10,October,41,Thursday,False,FY2025-26
2024-10-11,2024,Q4,10,October,41,Friday,False,FY2025-26
2024-10-12,2024,Q4,10,October,41,Saturday,True,FY2025-26
2024-10-13,2024,Q4,10,October,41,Sunday,True,FY2025-26
2024-10-14,2024,Q4,10,October,42,Monday,False,FY2025-26
2024-10-15,2024,Q4,10,October,42,Tuesday,False,FY2025-26
2024-10-16,2024,Q4,10,October,42,Wednesday,False,FY2025-26
2024-10-17,2024,Q4,10,October,42,Thursday,False,FY2025-26
2024-10-18,2024,Q4,10,October,42,Friday,False,FY2025-26
2024-10-19,2024,Q4,10,October,42,Saturday,True,FY2025-26
2024-10-20,2024,Q4,10,October,42,Sunday,True,FY2025-26
2024-10-21,2024,Q4,10,October,43,Monday,False,FY2025-26
2024-10-22,2024,Q4,10,October,43,Tuesday,False,FY2025-26
2024-10-23,2024,Q4,10,October,43,Wednesday,False,FY2025-26
2024-10-24,2024,Q4,10,October,43,Thursday,False,FY2025-26
2024-10-25,2024,Q4,10,October,43,Friday,False,FY2025-26
2024-10-26,2024,Q4,10,October,43,Saturday,True,FY2025-26
2024-10-27,2024,Q4,10,October,43,Sunday,True,FY2025-26
2024-10-28,2024,Q4,10,October,44,Monday,False,FY2025-26
2024-10-29,2024,Q4,10,October,44,Tuesday,False,FY2025-26
2024-10-30,2024,Q4,10,October,44,Wednesday,False,FY2025-26
2024-10-31,2024,Q4,10,October,44,Thursday,False,FY2025-26
2024-11-01,2024,Q4,11,November,44,Friday,False,FY2025-26
2024-11-02,2024,Q4,11,November,44,Saturday,True,FY2025-26
2024-11-03,2024,Q4,11,November,44,Sunday,True,FY2025-26
2024-11-04,2024,Q4,11,November,45,Monday,False,FY2025-26
2024-11-05,2024,Q4,11,November,45,Tuesday,False,FY2025-26
2024-11-06,2024,Q4,11,November,45,Wednesday,False,FY2025-26
2024-11-07,2024,Q4,11,November,45,Thursday,False,FY2025-26
2024-11-08,2024,Q4,11,November,45,Friday,False,FY2025-26
2024-11-09,2024,Q4,11,November,45,Saturday,True,FY2025-26
2024-11-10,2024,Q4,11,November,45,Sunday,True,FY2025-26
2024-11-11,2024,Q4,11,November,46,Monday,False,FY2025-26
2024-11-12,2024,Q4,11,November,46,Tuesday,False,FY2025-26
2024-11-13,2024,Q4,11,November,46,Wednesday,False,FY2025-26
2024-11-14,2024,Q4,11,November,46,Thursday,False,FY2025-26
2024-11-15,2024,Q4,11,November,46,Friday,False,FY2025-26
2024-11-16,2024,Q4,11,November,46,Saturday,True,FY2025-26
2024-11-17,2024,Q4,11,November,46,Sunday,True,FY2025-26
2024-11-18,2024,Q4,11,November,47,Monday,False,FY2025-26
2024-11-19,2024,Q4,11,November,47,Tuesday,False,FY2025-26
2024-11-20,2024,Q4,11,November,47,Wednesday,False,FY2025-26
2024-11-21,2024,Q4,11,November,47,Thursday,False,FY2025-26
2024-11-22,2024,Q4,11,November,47,Friday,False,FY2025-26
2024-11-23,2024,Q4,11,November,47,Saturday,True,FY2025-26
2024-11-24,2024,Q4,11,November,47,Sunday,True,FY2025-26
2024-11-25,2024,Q4,11,November,48,Monday,False,FY2025-26
2024-11-26,2024,Q4,11,November,48,Tuesday,False,FY2025-26
2024-11-27,2024,Q4,11,November,48,Wednesday,False,FY2025-26
2024-11-28,2024,Q4,11,November,48,Thursday,False,FY2025-26
2024-11-29,2024,Q4,11,November,48,Friday,False,FY2025-26
2024-11-30,2024,Q4,11,November,48,Saturday,True,FY2025-26
2024-12-01,2024,Q4,12,December,48,Sunday,True,FY2025-26
2024-12-02,2024,Q4,12,December,49,Monday,False,FY2025-26
2024-12-03,2024,Q4,12,December,49,Tuesday,False,FY2025-26
2024-12-04,2024,Q4,12,December,49,Wednesday,False,FY2025-26
2024-12-05,2024,Q4,12,December,49,Thursday,False,FY2025-26
2024-12-06,2024,Q4,12,December,49,Friday,False,FY2025-26
2024-12-07,2024,Q4,12,December,49,Saturday,True,FY2025-26
2024-12-08,2024,Q4,12,December,49,Sunday,True,FY2025-26
2024-12-09,2024,Q4,12,December,50,Monday,False,FY2025-26
2024-12-10,2024,Q4,12,December,50,Tuesday,False,FY2025-26
2024-12-11,2024,Q4,12,December,50,Wednesday,False,FY2025-26
2024-12-12,2024,Q4,12,December,50,Thursday,False,FY2025-26
2024-12-13,2024,Q4,12,December,50,Friday,False,FY2025-26
2024-12-14,2024,Q4,12,December,50,Saturday,True,FY2025-26
2024-12-15,2024,Q4,12,December,50,Sunday,True,FY2025-26
2024-12-16,2024,Q4,12,December,51,Monday,False,FY2025-26
2024-12-17,2024,Q4,12,December,51,Tuesday,False,FY2025-26
2024-12-18,2024,Q4,12,December,51,Wednesday,False,FY2025-26
2024-12-19,2024,Q4,12,December,51,Thursday,False,FY2025-26
2024-12-20,2024,Q4,12,December,51,Friday,False,FY2025-26
2024-12-21,2024,Q4,12,December,51,Saturday,True,FY2025-26
2024-12-22,2024,Q4,12,December,51,Sunday,True,FY2025-26
2024-12-23,2024,Q4,12,December,52,Monday,False,FY2025-26
2024-12-24,2024,Q4,12,December,52,Tuesday,False,FY2025-26
2024-12-25,2024,Q4,12,December,52,Wednesday,False,FY2025-26
2024-12-26,2024,Q4,12,December,52,Thursday,False,FY2025-26
2024-12-27,2024,Q4,12,December,52,Friday,False,FY2025-26
2024-12-28,2024,Q4,12,December,52,Saturday,True,FY2025-26
2024-12-29,2024,Q4,12,December,52,Sunday,True,FY2025-26
2024-12-30,2024,Q4,12,December,1,Monday,False,FY2025-26
2024-12-31,2024,Q4,12,December,1,Tuesday,False,FY2025-26
2025-01-01,2025,Q1,1,January,1,Wednesday,False,FY2025-26
2025-01-02,2025,Q1,1,January,1,Thursday,False,FY2025-26
2025-01-03,2025,Q1,1,January,1,Friday,False,FY2025-26
2025-01-04,2025,Q1,1,January,1,Saturday,True,FY2025-26
2025-01-05,2025,Q1,1,January,1,Sunday,True,FY2025-26
2025-01-06,2025,Q1,1,January,2,Monday,False,FY2025-26
2025-01-07,2025,Q1,1,January,2,Tuesday,False,FY2025-26
2025-01-08,2025,Q1,1,January,2,Wednesday,False,FY2025-26
2025-01-09,2025,Q1,1,January,2,Thursday,False,FY2025-26
2025-01-10,2025,Q1,1,January,2,Friday,False,FY2025-26
2025-01-11,2025,Q1,1,January,2,Saturday,True,FY2025-26
2025-01-12,2025,Q1,1,January,2,Sunday,True,FY2025-26
2025-01-13,2025,Q1,1,January,3,Monday,False,FY2025-26
2025-01-14,2025,Q1,1,January,3,Tuesday,False,FY2025-26
2025-01-15,2025,Q1,1,January,3,Wednesday,False,FY2025-26
2025-01-16,2025,Q1,1,January,3,Thursday,False,FY2025-26
2025-01-17,2025,Q1,1,January,3,Friday,False,FY2025-26
2025-01-18,2025,Q1,1,January,3,Saturday,True,FY2025-26
2025-01-19,2025,Q1,1,January,3,Sunday,True,FY2025-26
2025-01-20,2025,Q1,1,January,4,Monday,False,FY2025-26
2025-01-21,2025,Q1,1,January,4,Tuesday,False,FY2025-26
2025-01-22,2025,Q1,1,January,4,Wednesday,False,FY2025-26
2025-01-23,2025,Q1,1,January,4,Thursday,False,FY2025-26
2025-01-24,2025,Q1,1,January,4,Friday,False,FY2025-26
2025-01-25,2025,Q1,1,January,4,Saturday,True,FY2025-26
2025-01-26,2025,Q1,1,January,4,Sunday,True,FY2025-26
2025-01-27,2025,Q1,1,January,5,Monday,False,FY2025-26
2025-01-28,2025,Q1,1,January,5,Tuesday,False,FY2025-26
2025-01-29,2025,Q1,1,January,5,Wednesday,False,FY2025-26
2025-01-30,2025,Q1,1,January,5,Thursday,False,FY2025-26
2025-01-31,2025,Q1,1,January,5,Friday,False,FY2025-26
2025-02-01,2025,Q1,2,February,5,Saturday,True,FY2025-26
2025-02-02,2025,Q1,2,February,5,Sunday,True,FY2025-26
2025-02-03,2025,Q1,2,February,6,Monday,False,FY2025-26
2025-02-04,2025,Q1,2,February,6,Tuesday,False,FY2025-26
2025-02-05,2025,Q1,2,February,6,Wednesday,False,FY2025-26
2025-02-06,2025,Q1,2,February,6,Thursday,False,FY2025-26
2025-02-07,2025,Q1,2,February,6,Friday,False,FY2025-26
2025-02-08,2025,Q1,2,February,6,Saturday,True,FY2025-26
2025-02-09,2025,Q1,2,February,6,Sunday,True,FY2025-26
2025-02-10,2025,Q1,2,February,7,Monday,False,FY2025-26
2025-02-11,2025,Q1,2,February,7,Tuesday,False,FY2025-26
