Product_ID,Product_Name,Category,Units_Sold,Revenue,Profit,Profit_Margin_Percent,Orders
PROD0059,Home Furniture 059,Home,1008,3669705.48,336904.68,9.18,410
PROD0086,Fashion Footwear 086,Fashion,908,3641923.39,513745.35,14.11,397
PROD0100,Fashion Women 100,Fashion,974,3622262.32,919305.18,25.38,433
PROD0062,Home Kitchen 062,Home,951,3603134.36,1224749.93,33.99,405
PROD0067,Home Appliances 067,Home,931,3565449.09,1193819.69,33.48,400
PROD0020,Electronics Audio 020,Electronics,948,3535385.08,1286501.56,36.39,392
PROD0132,Beauty Haircare 132,Beauty,935,3298617.29,609884.54,18.49,406
PROD0151,Sports Fitness 151,Sports,900,3114230.78,432194.78,13.88,393
PROD0092,Fashion Footwear 092,Fashion,1093,3038555.99,695131.2,22.88,447
PROD0031,Electronics Accessories 031,Electronics,993,3015962.42,970759.76,32.19,421
PROD0146,Sports Sportswear 146,Sports,1091,2839769.38,408737.72,14.39,442
PROD0058,Home Kitchen 058,Home,1029,2641339.24,769783.75,29.14,424
PROD0074,Fashion Men 074,Fashion,1046,2595973.52,280537.46,10.81,423
PROD0127,Beauty Skincare 127,Beauty,966,2513813.77,391125.37,15.56,410
PROD0087,Fashion Men 087,Fashion,799,2469641.31,819842.14,33.2,358
PROD0159,Sports Fitness 159,Sports,907,2377201.51,811538.11,34.14,387
PROD0117,Beauty Haircare 117,Beauty,951,2366584.87,399260.68,16.87,414
PROD0045,Home Kitchen 045,Home,893,2351984.6,706140.95,30.02,395
PROD0155,Sports Equipment 155,Sports,907,2303059.83,529321.56,22.98,390
PROD0096,Fashion Women 096,Fashion,996,2268278.61,562688.37,24.81,408
PROD0144,Beauty Haircare 144,Beauty,1039,2133827.17,704713.84,33.03,431
PROD0091,Fashion Women 091,Fashion,957,2040562.57,732975.19,35.92,404
PROD0154,Sports Outdoor 154,Sports,914,1965687.51,438640.29,22.31,391
PROD0142,Beauty Skincare 142,Beauty,1005,1947163.23,174715.08,8.97,421
PROD0053,Home Appliances 053,Home,1033,1944441.47,336835.22,17.32,434
PROD0041,Home Kitchen 041,Home,959,1936861.17,701630.81,36.23,405
PROD0174,Sports Outdoor 174,Sports,899,1912457.0,220494.05,11.53,402
PROD0082,Fashion Accessories 082,Fashion,951,1906108.11,138474.9,7.26,408
PROD0137,Beauty Haircare 137,Beauty,942,1824397.12,502855.9,27.56,416
PROD0095,Fashion Accessories 095,Fashion,937,1814950.69,242186.82,13.34,400
PROD0173,Sports Outdoor 173,Sports,1112,1738006.53,235761.25,13.57,455
PROD0180,Sports Fitness 180,Sports,919,1662219.04,342185.82,20.59,360
PROD0116,Beauty Makeup 116,Beauty,954,1567053.11,161753.87,10.32,417
PROD0139,Beauty Skincare 139,Beauty,959,1552063.13,509812.34,32.85,418
PROD0150,Sports Fitness 150,Sports,1098,1295650.7,181422.26,14.0,458
PROD0049,Home Kitchen 049,Home,1019,1202530.25,142332.08,11.84,440
PROD0141,Beauty Fragrance 141,Beauty,889,1016897.57,169324.97,16.65,370
PROD0077,Fashion Women 077,Fashion,943,877578.62,306658.13,34.94,419
PROD0156,Sports Fitness 156,Sports,1073,871489.51,62747.95,7.2,462
PROD0145,Sports Sportswear 145,Sports,902,844978.11,188267.99,22.28,391
PROD0055,Home Appliances 055,Home,946,720259.85,257609.09,35.77,394
PROD0039,Home Kitchen 039,Home,970,673892.31,112446.61,16.69,415
PROD0035,Electronics Smartphones 035,Electronics,1008,655142.68,97325.56,14.86,422
PROD0110,Beauty Skincare 110,Beauty,1008,410210.08,75755.68,18.47,440
PROD0012,Electronics Laptops 012,Electronics,1022,309532.23,80123.89,25.89,413
PROD0081,Fashion Men 081,Fashion,1004,231325.01,65976.25,28.52,426
