Target_ID,Date,Region_ID,Category,Sales_Target,Profit_Target
TAR000051,2024-02-01,R004,Electronics,355511.43,129670.84
TAR000052,2024-02-01,R004,Home,684485.18,111285.21
TAR000053,2024-02-01,R004,Fashion,166489.25,47558.2
TAR000054,2024-02-01,R004,Beauty,461212.03,92152.22
TAR000055,2024-02-01,R004,Sports,186793.72,79955.98
TAR000056,2024-02-01,R016,Electronics,392434.7,54321.67
TAR000057,2024-02-01,R016,Home,593407.5,113683.41
TAR000058,2024-02-01,R016,Fashion,680652.18,90410.34
TAR000059,2024-02-01,R016,Beauty,576600.06,68757.47
TAR000060,2024-02-01,R016,Sports,205060.97,120938.02
TAR000061,2024-02-01,R019,Electronics,350390.05,67768.4
TAR000062,2024-02-01,R019,Home,401557.39,56814.4
TAR000063,2024-02-01,R019,Fashion,547973.15,72030.24
TAR000064,2024-02-01,R019,Beauty,174074.64,103741.46
TAR000065,2024-02-01,R019,Sports,539939.96,32237.41
TAR000066,2024-02-01,R017,Electronics,563033.4,113665.77
TAR000067,2024-02-01,R017,Home,699869.55,129384.32
TAR000068,2024-02-01,R017,Fashion,176988.94,28222.21
TAR000069,2024-02-01,R017,Beauty,541378.61,32400.55
TAR000070,2024-02-01,R017,Sports,294401.24,27004.31
TAR000071,2024-02-01,R015,Electronics,241018.38,94505.34
TAR000072,2024-02-01,R015,Home,377191.08,65847.84
TAR000073,2024-02-01,R015,Fashion,334934.98,81564.24
TAR000074,2024-02-01,R015,Beauty,345215.99,92648.55
TAR000075,2024-02-01,R015,Sports,585505.54,48064.98
TAR000076,2024-02-01,R025,Electronics,642325.65,122680.97
TAR000077,2024-02-01,R025,Home,672464.68,28818.51
TAR000078,2024-02-01,R025,Fashion,366955.9,48544.39
TAR000079,2024-02-01,R025,Beauty,357168.61,30529.56
TAR000080,2024-02-01,R025,Sports,459599.95,98349.3
TAR000081,2024-02-01,R005,Electronics,378685.96,51993.73
TAR000082,2024-02-01,R005,Home,202068.09,28765.63
TAR000083,2024-02-01,R005,Fashion,237737.67,74178.84
TAR000084,2024-02-01,R005,Beauty,347621.69,58221.1
TAR000085,2024-02-01,R005,Sports,477628.08,50326.46
TAR000086,2024-02-01,R009,Electronics,596503.79,26504.54
TAR000087,2024-02-01,R009,Home,291901.89,107023.91
TAR000088,2024-02-01,R009,Fashion,520200.36,94425.6
TAR000089,2024-02-01,R009,Beauty,394613.6,107265.57
TAR000090,2024-02-01,R009,Sports,544790.97,61909.43
TAR000091,2024-02-01,R011,Electronics,258169.62,38943.42
TAR000092,2024-02-01,R011,Home,302509.35,63820.99
TAR000093,2024-02-01,R011,Fashion,477940.27,41886.2
TAR000094,2024-02-01,R011,Beauty,256935.02,90488.29
TAR000095,2024-02-01,R011,Sports,246527.18,86636.77
TAR000096,2024-02-01,R018,Electronics,561805.92,74650.78
TAR000097,2024-02-01,R018,Home,150716.06,64760.5
TAR000098,2024-02-01,R018,Fashion,365261.59,53939.8
TAR000099,2024-02-01,R018,Beauty,471021.01,61288.23
TAR000100,2024-02-01,R018,Sports,471936.09,38983.36
TAR000101,2024-03-01,R022,Electronics,618530.83,30209.43
TAR000102,2024-03-01,R022,Home,167636.64,116164.19
TAR000103,2024-03-01,R022,Fashion,430554.24,49880.75
TAR000104,2024-03-01,R022,Beauty,541710.7,42919.03
TAR000105,2024-03-01,R022,Sports,578502.06,68477.98
TAR000106,2024-03-01,R016,Electronics,497688.89,60042.18
TAR000107,2024-03-01,R016,Home,443612.35,69877.28
TAR000108,2024-03-01,R016,Fashion,464944.95,66244.03
TAR000109,2024-03-01,R016,Beauty,467137.63,46780.36
TAR000110,2024-03-01,R016,Sports,277983.3,115640.94
TAR000111,2024-03-01,R021,Electronics,243166.72,98093.41
TAR000112,2024-03-01,R021,Home,334473.07,49789.14
TAR000113,2024-03-01,R021,Fashion,516818.32,48527.37
TAR000114,2024-03-01,R021,Beauty,532350.13,81593.65
TAR000115,2024-03-01,R021,Sports,321842.4,57515.88
TAR000116,2024-03-01,R011,Electronics,242318.26,125702.54
TAR000117,2024-03-01,R011,Home,285074.25,71261.63
TAR000118,2024-03-01,R011,Fashion,295597.16,81309.96
TAR000119,2024-03-01,R011,Beauty,324124.92,60638.59
TAR000120,2024-03-01,R011,Sports,239511.13,66942.29
TAR000121,2024-03-01,R005,Electronics,270075.75,47405.62
TAR000122,2024-03-01,R005,Home,259430.29,87021.87
TAR000123,2024-03-01,R005,Fashion,222903.18,72139.74
TAR000124,2024-03-01,R005,Beauty,407728.83,95479.21
TAR000125,2024-03-01,R005,Sports,326196.73,123061.96
TAR000126,2024-03-01,R025,Electronics,202330.61,97810.75
TAR000127,2024-03-01,R025,Home,175135.5,108202.25
TAR000128,2024-03-01,R025,Fashion,330048.86,61199.25
TAR000129,2024-03-01,R025,Beauty,239503.68,104864.8
TAR000130,2024-03-01,R025,Sports,681898.95,115254.56
TAR000131,2024-03-01,R019,Electronics,284959.19,78302.47
TAR000132,2024-03-01,R019,Home,488901.7,49593.89
TAR000133,2024-03-01,R019,Fashion,663629.36,72617.99
TAR000134,2024-03-01,R019,Beauty,470957.87,31357.51
TAR000135,2024-03-01,R019,Sports,330730.06,28402.6
TAR000136,2024-03-01,R007,Electronics,369151.64,93774.96
TAR000137,2024-03-01,R007,Home,378319.72,54668.72
TAR000138,2024-03-01,R007,Fashion,370690.97,104270.55
TAR000139,2024-03-01,R007,Beauty,242040.95,74746.76
TAR000140,2024-03-01,R007,Sports,448284.29,44815.52
TAR000141,2024-03-01,R004,Electronics,647191.86,44288.69
TAR000142,2024-03-01,R004,Home,613001.61,65705.6
TAR000143,2024-03-01,R004,Fashion,616413.22,57790.63
TAR000144,2024-03-01,R004,Beauty,222451.18,59558.65
TAR000145,2024-03-01,R004,Sports,558666.15,62156.53
TAR000146,2024-03-01,R014,Electronics,523808.37,65264.39
TAR000147,2024-03-01,R014,Home,679577.91,50866.89
TAR000148,2024-03-01,R014,Fashion,228178.55,73553.91
TAR000149,2024-03-01,R014,Beauty,218075.77,106476.94
TAR000150,2024-03-01,R014,Sports,331239.83,105833.28
TAR000151,2024-04-01,R005,Electronics,359497.4,71312.77
TAR000152,2024-04-01,R005,Home,668231.29,93313.29
TAR000153,2024-04-01,R005,Fashion,525209.74,95927.22
TAR000154,2024-04-01,R005,Beauty,150759.36,30004.21
TAR000155,2024-04-01,R005,Sports,246084.29,59747.26
TAR000156,2024-04-01,R006,Electronics,667808.63,27201.5
TAR000157,2024-04-01,R006,Home,222274.42,99364.03
TAR000158,2024-04-01,R006,Fashion,430419.75,53468.86
TAR000159,2024-04-01,R006,Beauty,398362.62,101701.94
TAR000160,2024-04-01,R006,Sports,471872.92,41164.53
TAR000161,2024-04-01,R009,Electronics,655270.44,52884.17
TAR000162,2024-04-01,R009,Home,471520.7,113762.55
TAR000163,2024-04-01,R009,Fashion,598898.18,121995.88
TAR000164,2024-04-01,R009,Beauty,367658.81,47945.28
TAR000165,2024-04-01,R009,Sports,676698.01,84626.33
TAR000166,2024-04-01,R011,Electronics,576560.58,65542.7
TAR000167,2024-04-01,R011,Home,446423.76,115967.84
TAR000168,2024-04-01,R011,Fashion,676740.11,74279.5
TAR000169,2024-04-01,R011,Beauty,188914.65,26576.74
TAR000170,2024-04-01,R011,Sports,335361.64,115332.41
TAR000171,2024-04-01,R014,Electronics,568436.28,39267.68
TAR000172,2024-04-01,R014,Home,513120.93,28571.93
TAR000173,2024-04-01,R014,Fashion,220505.04,124147.85
TAR000174,2024-04-01,R014,Beauty,544744.3,111807.37
TAR000175,2024-04-01,R014,Sports,437060.27,68404.16
TAR000176,2024-04-01,R002,Electronics,161903.94,107255.87
TAR000177,2024-04-01,R002,Home,661270.76,43954.25
TAR000178,2024-04-01,R002,Fashion,605511.94,74062.17
TAR000179,2024-04-01,R002,Beauty,357094.41,84248.68
TAR000180,2024-04-01,R002,Sports,568319.28,28671.34
TAR000181,2024-04-01,R016,Electronics,528728.9,62507.35
TAR000182,2024-04-01,R016,Home,622508.65,87428.52
TAR000183,2024-04-01,R016,Fashion,357458.67,123187.22
TAR000184,2024-04-01,R016,Beauty,245367.39,116011.81
TAR000185,2024-04-01,R016,Sports,352789.35,94260.46
TAR000186,2024-04-01,R010,Electronics,179658.94,110381.5
TAR000187,2024-04-01,R010,Home,192285.58,40631.46
TAR000188,2024-04-01,R010,Fashion,581173.35,34746.65
TAR000189,2024-04-01,R010,Beauty,635665.71,54235.24
TAR000190,2024-04-01,R010,Sports,678707.54,36583.26
TAR000191,2024-04-01,R019,Electronics,362548.81,98228.07
TAR000192,2024-04-01,R019,Home,395181.12,44938.16
TAR000193,2024-04-01,R019,Fashion,283885.4,95252.95
TAR000194,2024-04-01,R019,Beauty,347149.97,128245.35
TAR000195,2024-04-01,R019,Sports,681274.08,128185.32
TAR000196,2024-04-01,R022,Electronics,554686.54,66526.54
TAR000197,2024-04-01,R022,Home,576004.05,113339.56
TAR000198,2024-04-01,R022,Fashion,476507.22,64522.85
TAR000199,2024-04-01,R022,Beauty,205266.08,64402.94
TAR000200,2024-04-01,R022,Sports,185017.72,31964.03
TAR000201,2024-05-01,R012,Electronics,639581.07,123408.39
TAR000202,2024-05-01,R012,Home,250403.88,76929.35
TAR000203,2024-05-01,R012,Fashion,199376.51,91549.26
TAR000204,2024-05-01,R012,Beauty,164596.16,54686.43
TAR000205,2024-05-01,R012,Sports,685084.67,71836.61
TAR000206,2024-05-01,R005,Electronics,465880.81,77925.7
TAR000207,2024-05-01,R005,Home,301767.27,118631.12
TAR000208,2024-05-01,R005,Fashion,220595.78,34146.2
TAR000209,2024-05-01,R005,Beauty,370009.73,53139.48
TAR000210,2024-05-01,R005,Sports,317748.82,36626.33
TAR000211,2024-05-01,R024,Electronics,250543.15,64219.17
TAR000212,2024-05-01,R024,Home,621471.79,39647.94
TAR000213,2024-05-01,R024,Fashion,292613.27,35280.86
TAR000214,2024-05-01,R024,Beauty,292887.92,44873.06
TAR000215,2024-05-01,R024,Sports,286192.37,98402.65
TAR000216,2024-05-01,R021,Electronics,253673.16,29174.91
TAR000217,2024-05-01,R021,Home,186840.53,29821.16
TAR000218,2024-05-01,R021,Fashion,645695.26,62176.1
TAR000219,2024-05-01,R021,Beauty,294345.04,102378.32
TAR000220,2024-05-01,R021,Sports,333429.64,100100.66
TAR000221,2024-05-01,R022,Electronics,621279.18,81408.19
TAR000222,2024-05-01,R022,Home,227164.82,74043.51
TAR000223,2024-05-01,R022,Fashion,565255.79,88892.64
TAR000224,2024-05-01,R022,Beauty,595795.33,44344.23
TAR000225,2024-05-01,R022,Sports,608093.37,73322.94
TAR000226,2024-05-01,R015,Electronics,375512.68,73162.65
TAR000227,2024-05-01,R015,Home,473434.28,45419.97
TAR000228,2024-05-01,R015,Fashion,558482.06,112937.53
TAR000229,2024-05-01,R015,Beauty,373278.76,117084.09
TAR000230,2024-05-01,R015,Sports,692950.26,42757.81
TAR000231,2024-05-01,R009,Electronics,414626.31,83478.02
TAR000232,2024-05-01,R009,Home,426243.0,117645.65
TAR000233,2024-05-01,R009,Fashion,315906.12,129736.46
TAR000234,2024-05-01,R009,Beauty,236766.58,38561.46
TAR000235,2024-05-01,R009,Sports,579508.9,126810.81
TAR000236,2024-05-01,R010,Electronics,679377.53,117286.41
TAR000237,2024-05-01,R010,Home,342473.85,55417.27
TAR000238,2024-05-01,R010,Fashion,202475.49,49625.8
TAR000239,2024-05-01,R010,Beauty,220828.81,83014.23
TAR000240,2024-05-01,R010,Sports,423379.26,129859.79
TAR000241,2024-05-01,R014,Electronics,524705.88,38715.74
TAR000242,2024-05-01,R014,Home,463123.33,73990.11
TAR000243,2024-05-01,R014,Fashion,630233.54,106904.79
TAR000244,2024-05-01,R014,Beauty,678793.39,74010.63
TAR000245,2024-05-01,R014,Sports,202406.54,126297.31
TAR000246,2024-05-01,R007,Electronics,416257.99,27212.57
TAR000247,2024-05-01,R007,Home,397620.53,90612.13
TAR000248,2024-05-01,R007,Fashion,577467.27,127229.09
TAR000249,2024-05-01,R007,Beauty,405559.12,32440.29
TAR000250,2024-05-01,R007,Sports,266813.81,42467.71
TAR000251,2024-06-01,R022,Electronics,559031.91,128152.34
TAR000252,2024-06-01,R022,Home,150485.68,41689.06
TAR000253,2024-06-01,R022,Fashion,587239.83,31111.44
TAR000254,2024-06-01,R022,Beauty,603426.37,123192.01
TAR000255,2024-06-01,R022,Sports,674667.88,67916.94
TAR000256,2024-06-01,R007,Electronics,596575.82,111724.04
TAR000257,2024-06-01,R007,Home,247566.61,99838.35
TAR000258,2024-06-01,R007,Fashion,274141.6,39195.69
TAR000259,2024-06-01,R007,Beauty,536283.92,129249.2
TAR000260,2024-06-01,R007,Sports,680957.04,124843.97
TAR000261,2024-06-01,R012,Electronics,518462.96,33407.84
TAR000262,2024-06-01,R012,Home,511979.88,93632.09
TAR000263,2024-06-01,R012,Fashion,160625.31,120179.09
TAR000264,2024-06-01,R012,Beauty,567986.19,97147.29
TAR000265,2024-06-01,R012,Sports,232942.03,26971.18
TAR000266,2024-06-01,R015,Electronics,156729.89,67095.04
TAR000267,2024-06-01,R015,Home,556390.26,37109.54
TAR000268,2024-06-01,R015,Fashion,639982.13,99265.39
TAR000269,2024-06-01,R015,Beauty,169971.25,72127.09
TAR000270,2024-06-01,R015,Sports,194162.79,84589.59
TAR000271,2024-06-01,R004,Electronics,271064.94,37277.09
TAR000272,2024-06-01,R004,Home,638489.84,115554.13
TAR000273,2024-06-01,R004,Fashion,655891.25,59782.62
TAR000274,2024-06-01,R004,Beauty,549385.2,49857.09
TAR000275,2024-06-01,R004,Sports,179934.61,112743.75
TAR000276,2024-06-01,R019,Electronics,287394.12,103527.93
TAR000277,2024-06-01,R019,Home,646822.05,81160.49
TAR000278,2024-06-01,R019,Fashion,214531.5,126316.14
TAR000279,2024-06-01,R019,Beauty,267335.6,71570.25
TAR000280,2024-06-01,R019,Sports,261339.74,72934.52
TAR000281,2024-06-01,R008,Electronics,340734.55,49015.18
TAR000282,2024-06-01,R008,Home,261568.49,110762.86
TAR000283,2024-06-01,R008,Fashion,388983.26,64418.78
TAR000284,2024-06-01,R008,Beauty,609219.38,71540.61
TAR000285,2024-06-01,R008,Sports,434904.88,58840.64
TAR000286,2024-06-01,R005,Electronics,598850.92,68572.0
TAR000287,2024-06-01,R005,Home,322035.13,45709.51
TAR000288,2024-06-01,R005,Fashion,628533.17,58235.69
TAR000289,2024-06-01,R005,Beauty,384004.23,64102.46
TAR000290,2024-06-01,R005,Sports,208475.39,31353.99
TAR000291,2024-06-01,R017,Electronics,660660.7,107347.45
TAR000292,2024-06-01,R017,Home,364816.35,110225.45
TAR000293,2024-06-01,R017,Fashion,212344.81,64261.79
TAR000294,2024-06-01,R017,Beauty,363492.06,62953.75
TAR000295,2024-06-01,R017,Sports,283864.0,112157.15
TAR000296,2024-06-01,R001,Electronics,269940.96,61491.8
TAR000297,2024-06-01,R001,Home,689114.61,92066.9
TAR000298,2024-06-01,R001,Fashion,463982.28,37759.61
TAR000299,2024-06-01,R001,Beauty,632271.96,99442.67
TAR000300,2024-06-01,R001,Sports,555274.67,29528.02
TAR000301,2024-07-01,R016,Electronics,592944.22,100689.87
TAR000302,2024-07-01,R016,Home,474552.42,111380.26
TAR000303,2024-07-01,R016,Fashion,332371.42,57618.3
TAR000304,2024-07-01,R016,Beauty,198787.94,47533.59
TAR000305,2024-07-01,R016,Sports,488047.31,70664.28
TAR000306,2024-07-01,R023,Electronics,553899.52,77174.75
TAR000307,2024-07-01,R023,Home,217578.54,110813.15
TAR000308,2024-07-01,R023,Fashion,330794.58,43039.2
TAR000309,2024-07-01,R023,Beauty,642588.4,56574.35
TAR000310,2024-07-01,R023,Sports,298455.54,86228.05
TAR000311,2024-07-01,R025,Electronics,283003.4,120762.79
TAR000312,2024-07-01,R025,Home,589647.69,39364.99
TAR000313,2024-07-01,R025,Fashion,234220.02,127576.31
TAR000314,2024-07-01,R025,Beauty,207273.1,88660.79
TAR000315,2024-07-01,R025,Sports,391764.31,107659.93
TAR000316,2024-07-01,R009,Electronics,606194.35,77229.13
TAR000317,2024-07-01,R009,Home,187260.28,96827.92
TAR000318,2024-07-01,R009,Fashion,696986.18,96239.64
TAR000319,2024-07-01,R009,Beauty,156470.63,118305.52
TAR000320,2024-07-01,R009,Sports,171645.97,126067.46
TAR000321,2024-07-01,R022,Electronics,385507.93,126222.86
TAR000322,2024-07-01,R022,Home,384305.99,63829.79
TAR000323,2024-07-01,R022,Fashion,438527.79,97575.89
TAR000324,2024-07-01,R022,Beauty,169024.41,45515.95
TAR000325,2024-07-01,R022,Sports,644682.15,71532.8
TAR000326,2024-07-01,R003,Electronics,420740.24,42407.75
TAR000327,2024-07-01,R003,Home,173743.89,117505.71
TAR000328,2024-07-01,R003,Fashion,536135.42,115509.88
TAR000329,2024-07-01,R003,Beauty,526014.68,87736.06
TAR000330,2024-07-01,R003,Sports,173872.0,85267.3
TAR000331,2024-07-01,R004,Electronics,186912.09,70198.34
TAR000332,2024-07-01,R004,Home,150667.28,41885.7
TAR000333,2024-07-01,R004,Fashion,609272.43,65605.68
TAR000334,2024-07-01,R004,Beauty,286903.58,34967.12
TAR000335,2024-07-01,R004,Sports,459892.91,77491.75
TAR000336,2024-07-01,R005,Electronics,647217.58,59763.68
TAR000337,2024-07-01,R005,Home,543598.96,37217.06
TAR000338,2024-07-01,R005,Fashion,629631.7,50779.49
TAR000339,2024-07-01,R005,Beauty,287908.3,112652.31
TAR000340,2024-07-01,R005,Sports,265601.19,27374.05
TAR000341,2024-07-01,R002,Electronics,643234.05,106289.3
TAR000342,2024-07-01,R002,Home,426603.45,128050.5
TAR000343,2024-07-01,R002,Fashion,453177.07,127177.21
TAR000344,2024-07-01,R002,Beauty,289849.52,69551.77
TAR000345,2024-07-01,R002,Sports,483150.33,117254.69
TAR000346,2024-07-01,R008,Electronics,647160.8,74432.23
TAR000347,2024-07-01,R008,Home,624130.64,27176.58
TAR000348,2024-07-01,R008,Fashion,420366.89,121593.96
TAR000349,2024-07-01,R008,Beauty,538896.13,59103.78
TAR000350,2024-07-01,R008,Sports,674319.27,35038.96
TAR000351,2024-08-01,R017,Electronics,297351.34,96895.37
TAR000352,2024-08-01,R017,Home,256091.99,35745.52
TAR000353,2024-08-01,R017,Fashion,439341.73,117285.13
TAR000354,2024-08-01,R017,Beauty,427820.37,87034.52
TAR000355,2024-08-01,R017,Sports,503527.86,55812.05
TAR000356,2024-08-01,R001,Electronics,484685.7,78926.33
TAR000357,2024-08-01,R001,Home,352219.19,31438.06
TAR000358,2024-08-01,R001,Fashion,242381.78,46462.86
TAR000359,2024-08-01,R001,Beauty,232381.98,63489.18
TAR000360,2024-08-01,R001,Sports,535007.03,29288.89
TAR000361,2024-08-01,R011,Electronics,241453.72,87765.51
TAR000362,2024-08-01,R011,Home,266150.03,58356.52
TAR000363,2024-08-01,R011,Fashion,530965.33,37692.17
TAR000364,2024-08-01,R011,Beauty,605862.88,33240.51
TAR000365,2024-08-01,R011,Sports,168872.56,78654.06
TAR000366,2024-08-01,R010,Electronics,390822.28,52632.32
TAR000367,2024-08-01,R010,Home,447148.76,108529.48
TAR000368,2024-08-01,R010,Fashion,287992.19,54795.64
TAR000369,2024-08-01,R010,Beauty,689868.03,113659.38
TAR000370,2024-08-01,R010,Sports,325248.53,117116.7
TAR000371,2024-08-01,R022,Electronics,165887.79,57893.62
TAR000372,2024-08-01,R022,Home,388113.2,71262.62
TAR000373,2024-08-01,R022,Fashion,452283.73,124146.1
TAR000374,2024-08-01,R022,Beauty,348719.81,96651.56
TAR000375,2024-08-01,R022,Sports,640773.1,47220.48
TAR000376,2024-08-01,R018,Electronics,693765.39,75270.48
TAR000377,2024-08-01,R018,Home,548818.44,81437.44
TAR000378,2024-08-01,R018,Fashion,655189.52,95989.82
TAR000379,2024-08-01,R018,Beauty,301395.08,88293.4
TAR000380,2024-08-01,R018,Sports,270097.66,95597.72
TAR000381,2024-08-01,R005,Electronics,264663.55,104597.53
TAR000382,2024-08-01,R005,Home,439725.0,46497.55
TAR000383,2024-08-01,R005,Fashion,432476.91,120486.65
TAR000384,2024-08-01,R005,Beauty,490285.73,69899.53
TAR000385,2024-08-01,R005,Sports,452191.44,48029.03
TAR000386,2024-08-01,R021,Electronics,460829.48,77661.23
TAR000387,2024-08-01,R021,Home,505546.22,74626.51
TAR000388,2024-08-01,R021,Fashion,222496.76,46912.93
TAR000389,2024-08-01,R021,Beauty,375251.14,60415.79
TAR000390,2024-08-01,R021,Sports,326845.42,79041.84
TAR000391,2024-08-01,R025,Electronics,453568.77,85437.72
TAR000392,2024-08-01,R025,Home,530142.5,53359.3
TAR000393,2024-08-01,R025,Fashion,541125.15,43323.36
TAR000394,2024-08-01,R025,Beauty,246505.42,28181.16
TAR000395,2024-08-01,R025,Sports,255604.62,51188.56
TAR000396,2024-08-01,R016,Electronics,376443.55,51528.05
TAR000397,2024-08-01,R016,Home,496511.25,61219.87
TAR000398,2024-08-01,R016,Fashion,536417.4,65497.64
TAR000399,2024-08-01,R016,Beauty,527797.85,80841.06
TAR000400,2024-08-01,R016,Sports,341845.5,56524.05
TAR000401,2024-09-01,R009,Electronics,425216.11,32769.39
TAR000402,2024-09-01,R009,Home,508873.3,94343.92
TAR000403,2024-09-01,R009,Fashion,457796.56,56009.14
TAR000404,2024-09-01,R009,Beauty,330764.72,72956.71
TAR000405,2024-09-01,R009,Sports,575224.12,70656.09
TAR000406,2024-09-01,R001,Electronics,225144.92,108288.35
TAR000407,2024-09-01,R001,Home,564947.19,118376.39
TAR000408,2024-09-01,R001,Fashion,441201.1,113909.04
TAR000409,2024-09-01,R001,Beauty,347059.08,46447.63
TAR000410,2024-09-01,R001,Sports,498067.37,54849.94
TAR000411,2024-09-01,R024,Electronics,571162.89,33770.11
TAR000412,2024-09-01,R024,Home,362297.39,75676.15
TAR000413,2024-09-01,R024,Fashion,549389.77,64402.4
TAR000414,2024-09-01,R024,Beauty,570993.39,34480.23
TAR000415,2024-09-01,R024,Sports,566621.23,97768.34
TAR000416,2024-09-01,R006,Electronics,554153.04,80824.79
TAR000417,2024-09-01,R006,Home,445015.91,76210.86
TAR000418,2024-09-01,R006,Fashion,579676.7,65458.02
TAR000419,2024-09-01,R006,Beauty,199040.49,95439.97
TAR000420,2024-09-01,R006,Sports,344008.05,77374.74
TAR000421,2024-09-01,R017,Electronics,629883.67,25083.49
TAR000422,2024-09-01,R017,Home,685224.54,58732.0
TAR000423,2024-09-01,R017,Fashion,206966.41,76424.74
TAR000424,2024-09-01,R017,Beauty,209195.37,125704.01
TAR000425,2024-09-01,R017,Sports,573923.6,35547.08
TAR000426,2024-09-01,R013,Electronics,564214.78,70398.48
TAR000427,2024-09-01,R013,Home,677574.09,109315.74
TAR000428,2024-09-01,R013,Fashion,267778.1,106208.2
TAR000429,2024-09-01,R013,Beauty,694834.33,35675.25
TAR000430,2024-09-01,R013,Sports,532431.46,35421.02
TAR000431,2024-09-01,R019,Electronics,220366.35,84876.13
TAR000432,2024-09-01,R019,Home,583738.84,115133.59
TAR000433,2024-09-01,R019,Fashion,558374.69,51550.87
TAR000434,2024-09-01,R019,Beauty,345130.86,77149.42
TAR000435,2024-09-01,R019,Sports,544386.46,109535.01
TAR000436,2024-09-01,R005,Electronics,255555.45,58196.1
TAR000437,2024-09-01,R005,Home,478398.6,123752.57
TAR000438,2024-09-01,R005,Fashion,421637.15,104483.16
TAR000439,2024-09-01,R005,Beauty,291427.3,68334.42
TAR000440,2024-09-01,R005,Sports,294792.19,70628.79
TAR000441,2024-09-01,R007,Electronics,439519.41,71051.36
TAR000442,2024-09-01,R007,Home,267889.2,43293.92
TAR000443,2024-09-01,R007,Fashion,490786.55,53200.27
TAR000444,2024-09-01,R007,Beauty,436222.59,75504.11
TAR000445,2024-09-01,R007,Sports,584587.83,61192.41
TAR000446,2024-09-01,R012,Electronics,629966.86,38433.62
TAR000447,2024-09-01,R012,Home,385441.03,116178.24
TAR000448,2024-09-01,R012,Fashion,165421.0,99447.13
TAR000449,2024-09-01,R012,Beauty,515167.98,35110.39
TAR000450,2024-09-01,R012,Sports,299324.78,69700.18
TAR000451,2024-10-01,R002,Electronics,496190.6,104680.82
TAR000452,2024-10-01,R002,Home,370421.56,44794.11
TAR000453,2024-10-01,R002,Fashion,584461.9,29705.06
TAR000454,2024-10-01,R002,Beauty,352026.87,83871.82
TAR000455,2024-10-01,R002,Sports,379104.78,46080.41
TAR000456,2024-10-01,R001,Electronics,368080.74,116477.47
TAR000457,2024-10-01,R001,Home,165627.48,38762.75
TAR000458,2024-10-01,R001,Fashion,523332.11,78347.57
