Return_ID,Order_ID,Return_Date,Customer_ID,Product_ID,Return_Quantity,Return_Reason,Refund_Amount,Return_Status
RET00025,ORD013044,2025-09-06,CUST05210,PROD0088,1,Late Delivery,15469.47,Approved
RET00026,ORD069098,2026-02-14,CUST02713,PROD0071,1,Changed Mind,10420.29,Approved
RET00027,ORD054343,2026-01-05,CUST03601,PROD0172,1,Late Delivery,13612.05,Approved
RET00028,ORD005295,2025-06-28,CUST04452,PROD0044,1,Damaged,13681.96,Approved
RET00029,ORD042556,2025-11-06,CUST05926,PROD0120,2,Changed Mind,13057.24,Approved
RET00030,ORD062422,2025-12-26,CUST05625,PROD0065,1,Wrong Item,4366.12,Pending
RET00031,ORD062228,2024-12-24,CUST01536,PROD0063,1,Quality Issue,4222.04,Approved
RET00032,ORD041606,2024-05-05,CUST03943,PROD0096,1,Late Delivery,2508.21,Approved
RET00033,ORD071770,2026-03-26,CUST04502,PROD0146,1,Wrong Item,2879.6,Approved
RET00034,ORD045343,2025-05-24,CUST05767,PROD0077,2,Damaged,2042.94,Approved
RET00035,ORD020948,2026-01-27,CUST01352,PROD0094,2,Wrong Item,25354.7,Approved
RET00036,ORD013004,2025-11-16,CUST03398,PROD0160,1,Wrong Item,9056.08,Approved
RET00037,ORD005344,2026-01-05,CUST01513,PROD0063,1,Damaged,4222.04,Approved
RET00038,ORD069543,2024-05-24,CUST01771,PROD0072,2,Changed Mind,13627.54,Approved
RET00039,ORD016114,2026-03-26,CUST01983,PROD0011,1,Changed Mind,4711.27,Approved
RET00040,ORD030148,2024-08-21,CUST05714,PROD0172,1,Damaged,13612.05,Approved
RET00041,ORD036261,2025-08-12,CUST00168,PROD0139,1,Quality Issue,1777.94,Rejected
RET00042,ORD058814,2025-08-20,CUST03083,PROD0069,1,Quality Issue,5482.32,Approved
RET00043,ORD057115,2026-01-14,CUST05406,PROD0154,1,Late Delivery,2368.51,Approved
RET00044,ORD052657,2024-04-26,CUST05990,PROD0113,1,Quality Issue,14425.18,Approved
RET00045,ORD065810,2024-05-10,CUST00440,PROD0173,1,Quality Issue,1727.4,Approved
RET00046,ORD074935,2025-11-01,CUST00382,PROD0158,2,Late Delivery,32218.36,Pending
RET00047,ORD053426,2024-03-11,CUST00080,PROD0140,1,Quality Issue,16058.37,Rejected
RET00048,ORD008984,2025-11-09,CUST00892,PROD0061,1,Changed Mind,7568.74,Approved
RET00049,ORD048013,2026-06-24,CUST01658,PROD0088,1,Late Delivery,15469.47,Approved
RET00050,ORD046881,2025-11-02,CUST05281,PROD0167,1,Wrong Item,12170.89,Approved
RET00051,ORD071452,2026-03-11,CUST04850,PROD0034,1,Late Delivery,15512.32,Approved
RET00052,ORD044650,2026-01-02,CUST05883,PROD0144,1,Wrong Item,2257.47,Approved
RET00053,ORD048422,2025-08-29,CUST00136,PROD0175,1,Quality Issue,8066.73,Approved
RET00054,ORD046290,2024-01-27,CUST01091,PROD0094,1,Wrong Item,12677.35,Approved
RET00055,ORD051089,2025-04-04,CUST05180,PROD0018,1,Damaged,12486.26,Approved
RET00056,ORD011198,2024-10-06,CUST01832,PROD0001,1,Damaged,12001.3,Pending
RET00057,ORD015872,2025-10-02,CUST05243,PROD0086,1,Damaged,4398.02,Approved
RET00058,ORD019778,2025-09-20,CUST04488,PROD0058,2,Quality Issue,5648.56,Approved
RET00059,ORD029479,2024-08-14,CUST05933,PROD0134,1,Quality Issue,6640.83,Pending
RET00060,ORD014094,2026-01-01,CUST04186,PROD0076,1,Late Delivery,7447.92,Approved
RET00061,ORD024490,2024-03-26,CUST05107,PROD0170,1,Quality Issue,15086.92,Approved
RET00062,ORD034131,2024-06-26,CUST04064,PROD0033,1,Quality Issue,8818.49,Pending
RET00063,ORD018918,2026-02-10,CUST05922,PROD0121,1,Wrong Item,15732.26,Approved
RET00064,ORD024819,2024-04-24,CUST03696,PROD0176,2,Late Delivery,24013.38,Approved
RET00065,ORD002275,2024-05-23,CUST00878,PROD0146,1,Changed Mind,2879.6,Approved
RET00066,ORD023175,2025-05-30,CUST03808,PROD0027,1,Changed Mind,10298.65,Approved
RET00067,ORD037546,2024-01-20,CUST05620,PROD0015,1,Wrong Item,18083.63,Approved
RET00068,ORD059549,2026-02-25,CUST04099,PROD0179,1,Late Delivery,15031.47,Approved
RET00069,ORD072878,2024-06-30,CUST01983,PROD0069,1,Wrong Item,5482.32,Approved
RET00070,ORD065272,2026-05-06,CUST04279,PROD0157,1,Quality Issue,14323.08,Approved
RET00071,ORD040862,2026-03-19,CUST02838,PROD0016,1,Changed Mind,5085.97,Approved
RET00072,ORD025112,2024-09-29,CUST00608,PROD0048,1,Damaged,4193.34,Approved
RET00073,ORD029657,2024-03-24,CUST04850,PROD0116,2,Changed Mind,3625.08,Approved
RET00074,ORD061842,2025-09-11,CUST00684,PROD0152,1,Changed Mind,8156.28,Approved
RET00075,ORD031235,2026-06-15,CUST01460,PROD0097,1,Quality Issue,11000.04,Approved
RET00076,ORD047276,2024-10-08,CUST02431,PROD0142,1,Wrong Item,2133.87,Approved
RET00077,ORD058279,2025-10-13,CUST04881,PROD0129,1,Quality Issue,5163.83,Approved
RET00078,ORD025086,2024-05-31,CUST00737,PROD0124,1,Late Delivery,10142.95,Approved
RET00079,ORD023749,2024-04-30,CUST02995,PROD0094,1,Late Delivery,12677.35,Approved
RET00080,ORD071453,2026-05-06,CUST03482,PROD0115,1,Late Delivery,16930.95,Approved
RET00081,ORD010743,2025-06-24,CUST03356,PROD0066,1,Wrong Item,6135.56,Approved
RET00082,ORD013421,2024-06-17,CUST03885,PROD0041,2,Damaged,4439.4,Approved
RET00083,ORD056657,2025-01-29,CUST02326,PROD0083,2,Quality Issue,27269.86,Approved
RET00084,ORD001838,2024-05-21,CUST04174,PROD0061,1,Wrong Item,7568.74,Approved
RET00085,ORD026615,2026-01-10,CUST04792,PROD0110,1,Quality Issue,448.54,Approved
RET00086,ORD035107,2025-12-18,CUST00688,PROD0143,2,Quality Issue,9620.34,Approved
RET00087,ORD004029,2024-10-08,CUST03683,PROD0036,1,Changed Mind,15593.56,Approved
RET00088,ORD017697,2025-07-21,CUST05052,PROD0043,1,Quality Issue,18076.17,Approved
RET00089,ORD050416,2025-07-07,CUST05925,PROD0103,1,Wrong Item,7340.57,Approved
RET00090,ORD070143,2025-07-24,CUST00638,PROD0123,1,Quality Issue,10275.68,Approved
RET00091,ORD007998,2025-12-25,CUST00077,PROD0100,1,Late Delivery,4090.74,Approved
RET00092,ORD035021,2024-11-21,CUST01527,PROD0061,2,Damaged,15137.48,Rejected
RET00093,ORD041640,2024-01-20,CUST00287,PROD0075,1,Changed Mind,16358.29,Approved
RET00094,ORD015185,2025-07-22,CUST00688,PROD0068,1,Changed Mind,14057.37,Approved
RET00095,ORD020936,2026-01-31,CUST01821,PROD0152,1,Quality Issue,8156.28,Approved
RET00096,ORD047847,2026-03-19,CUST05748,PROD0054,2,Damaged,35879.44,Pending
RET00097,ORD048149,2024-08-11,CUST04132,PROD0050,1,Late Delivery,7609.14,Approved
RET00098,ORD074466,2024-08-27,CUST02720,PROD0008,1,Damaged,8891.61,Approved
RET00099,ORD039256,2024-05-08,CUST01184,PROD0063,1,Changed Mind,4222.04,Pending
RET00100,ORD073417,2026-04-24,CUST05882,PROD0073,1,Changed Mind,8656.25,Approved
RET00101,ORD063728,2025-10-04,CUST01252,PROD0118,1,Changed Mind,11702.39,Approved
RET00102,ORD003016,2026-04-06,CUST04670,PROD0132,1,Damaged,3901.55,Approved
RET00103,ORD054560,2025-08-30,CUST01835,PROD0026,1,Late Delivery,12026.19,Approved
RET00104,ORD004208,2025-07-02,CUST03882,PROD0122,1,Wrong Item,6342.03,Approved
RET00105,ORD052402,2025-02-10,CUST01331,PROD0021,1,Damaged,18499.86,Approved
RET00106,ORD003663,2025-05-31,CUST03450,PROD0041,1,Quality Issue,2219.7,Approved
RET00107,ORD051695,2024-05-10,CUST02032,PROD0036,1,Changed Mind,15593.56,Approved
RET00108,ORD021104,2024-05-07,CUST01415,PROD0028,1,Changed Mind,19962.64,Approved
RET00109,ORD038488,2024-03-30,CUST00494,PROD0034,1,Changed Mind,15512.32,Approved
RET00110,ORD044156,2024-06-30,CUST04957,PROD0090,1,Late Delivery,6354.08,Approved
RET00111,ORD034402,2026-06-05,CUST05582,PROD0040,2,Quality Issue,14251.38,Approved
RET00112,ORD070921,2026-05-24,CUST04832,PROD0104,1,Changed Mind,5323.97,Approved
RET00113,ORD028592,2024-05-31,CUST02887,PROD0124,1,Changed Mind,10142.95,Approved
RET00114,ORD070392,2024-06-04,CUST04330,PROD0158,1,Quality Issue,16109.18,Approved
RET00115,ORD074028,2024-02-26,CUST01122,PROD0105,1,Wrong Item,10597.29,Approved
RET00116,ORD003247,2025-02-02,CUST01975,PROD0061,1,Late Delivery,7568.74,Approved
RET00117,ORD008420,2024-09-14,CUST05359,PROD0054,1,Wrong Item,17939.72,Approved
RET00118,ORD015807,2025-02-14,CUST03654,PROD0169,2,Damaged,12709.76,Approved
RET00119,ORD006714,2025-02-19,CUST01837,PROD0093,1,Quality Issue,13725.41,Approved
RET00120,ORD060088,2024-09-26,CUST05461,PROD0133,1,Late Delivery,12376.92,Approved
RET00121,ORD044337,2024-09-19,CUST00018,PROD0099,1,Late Delivery,5204.8,Approved
RET00122,ORD007337,2025-05-09,CUST01972,PROD0033,1,Late Delivery,8818.49,Approved
RET00123,ORD001873,2025-02-25,CUST03960,PROD0084,1,Late Delivery,8327.08,Approved
RET00124,ORD040104,2025-02-04,CUST02568,PROD0173,1,Damaged,1727.4,Approved
RET00125,ORD053571,2025-04-16,CUST02879,PROD0052,2,Wrong Item,32675.62,Approved
RET00126,ORD046402,2025-06-01,CUST00038,PROD0145,1,Changed Mind,1029.53,Approved
RET00127,ORD030491,2025-12-05,CUST00308,PROD0032,1,Wrong Item,16577.15,Approved
RET00128,ORD059995,2026-05-11,CUST05006,PROD0073,1,Damaged,8656.25,Approved
RET00129,ORD007467,2024-08-15,CUST01239,PROD0098,1,Late Delivery,15512.35,Approved
RET00130,ORD071311,2024-08-24,CUST00953,PROD0041,1,Changed Mind,2219.7,Approved
RET00131,ORD022847,2025-02-02,CUST00248,PROD0008,1,Late Delivery,8891.61,Approved
RET00132,ORD071268,2025-04-30,CUST05896,PROD0045,1,Late Delivery,2884.24,Pending
RET00133,ORD011455,2026-04-01,CUST04801,PROD0067,1,Changed Mind,4228.87,Rejected
RET00134,ORD046246,2024-03-14,CUST00516,PROD0054,1,Late Delivery,17939.72,Rejected
RET00135,ORD046599,2024-02-25,CUST04749,PROD0123,1,Late Delivery,10275.68,Approved
RET00136,ORD053902,2025-06-04,CUST04492,PROD0104,1,Damaged,5323.97,Approved
RET00137,ORD014098,2025-12-01,CUST00537,PROD0163,1,Late Delivery,9897.91,Approved
RET00138,ORD067550,2025-04-08,CUST01069,PROD0111,1,Late Delivery,4589.0,Approved
RET00139,ORD039145,2024-06-18,CUST02330,PROD0173,1,Changed Mind,1727.4,Approved
RET00140,ORD049576,2024-02-15,CUST01733,PROD0143,1,Quality Issue,4810.17,Approved
RET00141,ORD003182,2024-03-08,CUST00348,PROD0155,1,Wrong Item,2796.83,Approved
RET00142,ORD072605,2025-11-16,CUST00003,PROD0060,1,Quality Issue,15188.92,Approved
RET00143,ORD011225,2024-11-29,CUST03752,PROD0068,1,Quality Issue,14057.37,Approved
RET00144,ORD004357,2026-01-18,CUST03046,PROD0034,1,Wrong Item,15512.32,Approved
RET00145,ORD015497,2024-03-16,CUST04526,PROD0139,1,Late Delivery,1777.94,Approved
RET00146,ORD001204,2025-12-04,CUST04333,PROD0007,2,Damaged,13240.46,Approved
RET00147,ORD005760,2024-09-17,CUST04840,PROD0140,2,Late Delivery,32116.74,Approved
RET00148,ORD008194,2024-05-12,CUST01663,PROD0088,1,Changed Mind,15469.47,Approved
RET00149,ORD007016,2024-04-25,CUST02406,PROD0099,1,Quality Issue,5204.8,Pending
RET00150,ORD004076,2025-04-26,CUST05385,PROD0129,1,Late Delivery,5163.83,Approved
RET00151,ORD040606,2025-08-25,CUST05678,PROD0074,1,Damaged,2745.78,Approved
RET00152,ORD002481,2025-03-01,CUST04280,PROD0078,1,Wrong Item,11816.08,Rejected
RET00153,ORD062418,2024-05-29,CUST00072,PROD0075,1,Changed Mind,16358.29,Approved
RET00154,ORD074410,2025-10-30,CUST04763,PROD0088,2,Changed Mind,30938.94,Approved
RET00155,ORD036199,2026-04-27,CUST03652,PROD0088,1,Wrong Item,15469.47,Approved
RET00156,ORD040381,2025-07-03,CUST03284,PROD0076,1,Late Delivery,7447.92,Approved
RET00157,ORD051113,2024-04-14,CUST05624,PROD0135,1,Wrong Item,11613.45,Approved
RET00158,ORD035813,2025-06-12,CUST05221,PROD0008,1,Damaged,8891.61,Approved
RET00159,ORD023604,2024-09-25,CUST01933,PROD0097,1,Wrong Item,11000.04,Rejected
RET00160,ORD019305,2026-01-06,CUST03223,PROD0019,1,Quality Issue,9684.46,Approved
RET00161,ORD005019,2024-11-04,CUST03730,PROD0077,1,Quality Issue,1021.47,Approved
RET00162,ORD066052,2026-06-20,CUST01486,PROD0086,1,Late Delivery,4398.02,Approved
RET00163,ORD058917,2024-12-26,CUST01045,PROD0074,2,Quality Issue,5491.56,Approved
RET00164,ORD008891,2024-01-27,CUST00607,PROD0058,1,Wrong Item,2824.28,Approved
RET00165,ORD060253,2024-02-23,CUST03365,PROD0058,1,Changed Mind,2824.28,Pending
RET00166,ORD018025,2025-05-05,CUST01400,PROD0123,1,Wrong Item,10275.68,Approved
RET00167,ORD009847,2025-02-16,CUST03318,PROD0122,1,Changed Mind,6342.03,Approved
RET00168,ORD025762,2024-01-22,CUST03851,PROD0106,2,Damaged,8558.26,Approved
RET00169,ORD034573,2024-12-11,CUST00746,PROD0061,1,Wrong Item,7568.74,Approved
RET00170,ORD064484,2025-08-08,CUST01041,PROD0165,1,Damaged,11488.02,Approved
RET00171,ORD026711,2024-12-22,CUST02910,PROD0176,1,Quality Issue,12006.69,Approved
RET00172,ORD040516,2024-10-07,CUST04193,PROD0039,1,Quality Issue,759.95,Approved
RET00173,ORD024493,2025-03-30,CUST00425,PROD0065,1,Quality Issue,4366.12,Approved
RET00174,ORD048669,2026-05-21,CUST01367,PROD0034,1,Wrong Item,15512.32,Approved
RET00175,ORD061033,2024-10-08,CUST03429,PROD0172,1,Damaged,13612.05,Rejected
RET00176,ORD006818,2024-01-16,CUST01453,PROD0025,1,Quality Issue,5285.3,Approved
RET00177,ORD054584,2025-02-25,CUST04749,PROD0149,1,Late Delivery,15077.01,Rejected
RET00178,ORD048339,2026-03-26,CUST04231,PROD0166,1,Wrong Item,6336.84,Pending
RET00179,ORD050533,2026-07-01,CUST05918,PROD0055,1,Wrong Item,832.15,Approved
RET00180,ORD027985,2026-03-07,CUST01219,PROD0055,1,Wrong Item,832.15,Approved
RET00181,ORD067936,2024-12-16,CUST03304,PROD0124,1,Damaged,10142.95,Approved
RET00182,ORD004496,2025-10-05,CUST01720,PROD0179,1,Wrong Item,15031.47,Approved
RET00183,ORD059129,2025-07-08,CUST05918,PROD0019,1,Damaged,9684.46,Rejected
RET00184,ORD064489,2025-03-07,CUST00251,PROD0076,1,Wrong Item,7447.92,Approved
RET00185,ORD034852,2024-04-21,CUST01173,PROD0059,1,Late Delivery,4032.23,Approved
RET00186,ORD048164,2026-02-18,CUST05918,PROD0078,1,Late Delivery,11816.08,Approved
RET00187,ORD049845,2024-04-18,CUST05618,PROD0038,1,Late Delivery,5926.22,Approved
RET00188,ORD020208,2026-03-15,CUST03284,PROD0045,2,Quality Issue,5768.48,Approved
RET00189,ORD059788,2026-05-07,CUST01480,PROD0105,1,Changed Mind,10597.29,Approved
RET00190,ORD073380,2025-02-04,CUST04501,PROD0072,1,Damaged,6813.77,Approved
RET00191,ORD052884,2025-04-12,CUST05580,PROD0002,1,Late Delivery,6109.4,Pending
RET00192,ORD007473,2025-04-21,CUST05634,PROD0101,2,Damaged,24143.38,Approved
RET00193,ORD026008,2024-07-13,CUST05640,PROD0140,1,Damaged,16058.37,Approved
RET00194,ORD017885,2025-06-01,CUST03955,PROD0144,1,Damaged,2257.47,Rejected
RET00195,ORD071475,2024-07-02,CUST02765,PROD0043,1,Wrong Item,18076.17,Approved
RET00196,ORD006886,2025-11-19,CUST02505,PROD0078,1,Damaged,11816.08,Approved
RET00197,ORD051343,2024-09-13,CUST05245,PROD0001,1,Wrong Item,12001.3,Approved
RET00198,ORD050512,2024-07-23,CUST01174,PROD0131,1,Quality Issue,8773.69,Approved
RET00199,ORD000124,2025-05-29,CUST05405,PROD0069,1,Changed Mind,5482.32,Approved
RET00200,ORD031756,2024-02-22,CUST04420,PROD0084,1,Quality Issue,8327.08,Approved
RET00201,ORD008161,2024-03-22,CUST03184,PROD0103,1,Quality Issue,7340.57,Approved
RET00202,ORD016404,2025-08-16,CUST04680,PROD0167,1,Quality Issue,12170.89,Approved
RET00203,ORD023312,2024-11-05,CUST04351,PROD0123,1,Quality Issue,10275.68,Approved
RET00204,ORD034087,2025-09-03,CUST01449,PROD0017,1,Quality Issue,9986.93,Approved
RET00205,ORD068666,2025-05-28,CUST02365,PROD0173,1,Damaged,1727.4,Pending
RET00206,ORD049766,2024-12-09,CUST03275,PROD0095,1,Late Delivery,2134.17,Approved
RET00207,ORD051018,2024-01-20,CUST01902,PROD0103,1,Damaged,7340.57,Approved
RET00208,ORD033514,2024-04-11,CUST00861,PROD0157,2,Late Delivery,28646.16,Rejected
RET00209,ORD045412,2026-04-30,CUST05557,PROD0162,2,Late Delivery,29604.34,Pending
RET00210,ORD052027,2024-08-09,CUST00072,PROD0144,1,Wrong Item,2257.47,Approved
RET00211,ORD020456,2026-05-12,CUST03009,PROD0036,1,Quality Issue,15593.56,Rejected
RET00212,ORD073817,2024-09-06,CUST03321,PROD0110,2,Quality Issue,897.08,Pending
RET00213,ORD033333,2025-02-23,CUST02516,PROD0089,1,Damaged,18354.57,Approved
RET00214,ORD007404,2025-11-21,CUST00223,PROD0079,1,Late Delivery,5573.33,Approved
RET00215,ORD012735,2025-04-22,CUST00270,PROD0129,1,Wrong Item,5163.83,Approved
RET00216,ORD016484,2025-06-01,CUST02186,PROD0025,1,Wrong Item,5285.3,Approved
RET00217,ORD045929,2024-03-30,CUST05322,PROD0056,2,Late Delivery,8104.8,Approved
RET00218,ORD024898,2024-05-25,CUST00937,PROD0151,1,Wrong Item,3808.36,Approved
RET00219,ORD017078,2026-02-28,CUST05142,PROD0168,1,Changed Mind,7461.76,Approved
RET00220,ORD009560,2024-07-01,CUST04421,PROD0179,1,Damaged,15031.47,Rejected
RET00221,ORD027806,2026-04-05,CUST04144,PROD0144,1,Late Delivery,2257.47,Approved
RET00222,ORD066496,2024-04-05,CUST01582,PROD0045,1,Changed Mind,2884.24,Approved
RET00223,ORD031966,2025-10-24,CUST03396,PROD0150,1,Wrong Item,1301.37,Approved
RET00224,ORD029197,2025-10-25,CUST01246,PROD0132,1,Late Delivery,3901.55,Rejected
RET00225,ORD072576,2024-10-06,CUST01451,PROD0180,1,Damaged,1990.36,Approved
RET00226,ORD071617,2026-03-31,CUST02559,PROD0173,1,Late Delivery,1727.4,Approved
RET00227,ORD011904,2024-01-30,CUST00081,PROD0157,1,Damaged,14323.08,Approved
RET00228,ORD003475,2024-12-25,CUST03952,PROD0009,1,Damaged,6992.14,Rejected
RET00229,ORD058668,2024-07-12,CUST00085,PROD0074,2,Changed Mind,5491.56,Approved
RET00230,ORD068701,2025-02-14,CUST05857,PROD0026,2,Changed Mind,24052.38,Pending
RET00231,ORD002616,2024-10-15,CUST05464,PROD0020,1,Changed Mind,4124.29,Approved
RET00232,ORD067400,2025-05-18,CUST05994,PROD0179,2,Wrong Item,30062.94,Approved
RET00233,ORD062289,2024-07-20,CUST02139,PROD0130,1,Changed Mind,9115.86,Approved
RET00234,ORD011186,2026-01-16,CUST04164,PROD0137,2,Changed Mind,4271.64,Approved
RET00235,ORD020653,2026-03-21,CUST05843,PROD0018,1,Quality Issue,12486.26,Rejected
RET00236,ORD057052,2024-10-10,CUST02652,PROD0042,1,Damaged,19236.44,Approved
RET00237,ORD060793,2025-07-18,CUST05434,PROD0106,2,Late Delivery,8558.26,Approved
RET00238,ORD004058,2024-04-04,CUST03850,PROD0099,1,Wrong Item,5204.8,Rejected
RET00239,ORD035896,2025-11-26,CUST00298,PROD0090,2,Changed Mind,12708.16,Rejected
RET00240,ORD060929,2025-02-06,CUST02264,PROD0116,2,Damaged,3625.08,Approved
RET00241,ORD065745,2024-08-22,CUST00334,PROD0105,2,Late Delivery,21194.58,Approved
RET00242,ORD037278,2025-07-15,CUST00673,PROD0108,1,Changed Mind,12361.97,Approved
RET00243,ORD002325,2024-04-22,CUST02175,PROD0029,1,Wrong Item,13777.49,Approved
RET00244,ORD036304,2024-11-10,CUST05429,PROD0031,1,Damaged,3348.21,Pending
RET00245,ORD015747,2024-09-22,CUST04986,PROD0082,2,Changed Mind,4425.44,Pending
RET00246,ORD041092,2024-03-19,CUST03427,PROD0065,1,Quality Issue,4366.12,Approved
RET00247,ORD057152,2025-11-28,CUST00062,PROD0175,1,Late Delivery,8066.73,Approved
RET00248,ORD045858,2025-10-30,CUST05736,PROD0126,1,Late Delivery,11737.65,Pending
RET00249,ORD021764,2025-04-18,CUST00569,PROD0080,2,Wrong Item,14213.3,Approved
RET00250,ORD033505,2025-05-06,CUST01369,PROD0104,1,Damaged,5323.97,Pending
RET00251,ORD048473,2025-03-09,CUST02811,PROD0019,1,Wrong Item,9684.46,Pending
RET00252,ORD051650,2025-05-07,CUST03723,PROD0033,1,Late Delivery,8818.49,Approved
RET00253,ORD006410,2025-08-03,CUST05899,PROD0164,1,Changed Mind,15495.6,Approved
RET00254,ORD030531,2025-12-21,CUST01869,PROD0127,1,Damaged,2851.07,Approved
RET00255,ORD000730,2026-02-21,CUST02782,PROD0158,1,Damaged,16109.18,Approved
RET00256,ORD016305,2024-06-17,CUST01681,PROD0064,2,Wrong Item,28046.84,Approved
RET00257,ORD063931,2024-05-13,CUST03812,PROD0173,1,Quality Issue,1727.4,Approved
RET00258,ORD061209,2024-11-08,CUST05298,PROD0056,2,Late Delivery,8104.8,Approved
RET00259,ORD052368,2026-03-31,CUST00923,PROD0088,1,Damaged,15469.47,Approved
RET00260,ORD053089,2025-12-21,CUST03192,PROD0096,1,Late Delivery,2508.21,Approved
RET00261,ORD026064,2025-11-24,CUST04404,PROD0140,1,Changed Mind,16058.37,Approved
RET00262,ORD020468,2025-10-22,CUST01716,PROD0176,2,Wrong Item,24013.38,Approved
RET00263,ORD074589,2026-03-11,CUST04695,PROD0031,1,Quality Issue,3348.21,Approved
RET00264,ORD034903,2024-12-06,CUST01349,PROD0083,2,Quality Issue,27269.86,Approved
RET00265,ORD065195,2026-01-15,CUST04911,PROD0175,2,Changed Mind,16133.46,Approved
RET00266,ORD029308,2026-01-08,CUST04189,PROD0093,1,Changed Mind,13725.41,Pending
RET00267,ORD055444,2024-10-11,CUST00695,PROD0175,1,Damaged,8066.73,Approved
RET00268,ORD019196,2024-01-12,CUST02791,PROD0086,1,Changed Mind,4398.02,Approved
RET00269,ORD036938,2026-01-20,CUST04247,PROD0150,1,Late Delivery,1301.37,Approved
RET00270,ORD026965,2025-06-08,CUST03694,PROD0146,1,Quality Issue,2879.6,Approved
RET00271,ORD010648,2024-12-23,CUST02408,PROD0084,1,Damaged,8327.08,Approved
RET00272,ORD040694,2024-08-28,CUST04276,PROD0019,1,Quality Issue,9684.46,Rejected
RET00273,ORD043641,2025-11-25,CUST02391,PROD0132,1,Quality Issue,3901.55,Approved
RET00274,ORD003325,2025-10-11,CUST00472,PROD0030,1,Wrong Item,10355.74,Approved
RET00275,ORD033466,2026-07-04,CUST05282,PROD0160,2,Changed Mind,18112.16,Approved
RET00276,ORD002393,2026-05-22,CUST01148,PROD0087,1,Damaged,3396.38,Pending
RET00277,ORD072525,2025-08-19,CUST01487,PROD0140,1,Quality Issue,16058.37,Approved
RET00278,ORD036950,2025-11-10,CUST05227,PROD0037,1,Wrong Item,9731.05,Approved
RET00279,ORD036405,2024-04-09,CUST02309,PROD0060,1,Late Delivery,15188.92,Approved
RET00280,ORD029460,2026-01-31,CUST02345,PROD0166,2,Late Delivery,12673.68,Approved
RET00281,ORD016862,2025-03-19,CUST04399,PROD0074,2,Wrong Item,5491.56,Approved
RET00282,ORD012731,2025-08-15,CUST04196,PROD0099,2,Late Delivery,10409.6,Approved
RET00283,ORD047934,2026-06-04,CUST01736,PROD0003,1,Damaged,15842.07,Approved
RET00284,ORD003407,2024-07-28,CUST03124,PROD0132,1,Late Delivery,3901.55,Approved
RET00285,ORD006746,2026-04-18,CUST02954,PROD0065,2,Wrong Item,8732.24,Approved
RET00286,ORD055296,2026-03-18,CUST01293,PROD0098,1,Quality Issue,15512.35,Rejected
RET00287,ORD046578,2025-08-10,CUST04949,PROD0139,1,Late Delivery,1777.94,Approved
RET00288,ORD055436,2025-08-10,CUST01443,PROD0167,1,Wrong Item,12170.89,Approved
RET00289,ORD026760,2026-02-12,CUST00326,PROD0119,1,Quality Issue,15636.32,Pending
RET00290,ORD030914,2025-01-11,CUST01321,PROD0064,1,Wrong Item,14023.42,Approved
RET00291,ORD050887,2025-01-26,CUST00293,PROD0014,1,Quality Issue,6922.67,Approved
