Product_ID,Product_Name,Category,Units_Sold,Revenue,Profit,Returned_Units,Refund_Amount,Valid_Return_Records,Return_Rate_Percent,Refund_to_Revenue_Percent,Profit_Margin_Percent,Return_Risk
PROD0076,Fashion Footwear 076,Fashion,955,6499023.71,484662.91,29,215989.68,26,3.04,3.32,7.46,Moderate Return Risk
PROD0116,Beauty Makeup 116,Beauty,954,1567053.11,161753.87,29,52563.66,27,3.04,3.35,10.32,Moderate Return Risk
PROD0141,Beauty Fragrance 141,Beauty,889,1016897.57,169324.97,27,33983.28,26,3.04,3.34,16.65,Moderate Return Risk
PROD0126,Beauty Skincare 126,Beauty,989,10471771.47,1870863.74,30,352129.5,29,3.03,3.36,17.87,Moderate Return Risk
PROD0134,Beauty Skincare 134,Beauty,957,5764957.69,1094079.94,29,192584.07,26,3.03,3.34,18.98,Moderate Return Risk
PROD0168,Sports Equipment 168,Sports,990,6664926.22,2106283.12,30,223852.8,28,3.03,3.36,31.6,Moderate Return Risk
PROD0034,Electronics Smartphones 034,Electronics,1026,14497702.66,4824010.36,31,480881.92,29,3.02,3.32,33.27,Moderate Return Risk
PROD0048,Home Furniture 048,Home,1061,4039555.17,479157.47,32,134186.88,29,3.02,3.32,11.86,Moderate Return Risk
PROD0151,Sports Fitness 151,Sports,900,3114230.78,432194.78,27,102825.72,25,3.0,3.3,13.88,Moderate Return Risk
PROD0035,Electronics Smartphones 035,Electronics,1008,655142.68,97325.56,30,21534.0,27,2.98,3.29,14.86,Moderate Return Risk
PROD0058,Home Kitchen 058,Home,1029,2641339.24,769783.75,30,84728.4,28,2.92,3.21,29.14,Moderate Return Risk
PROD0139,Beauty Skincare 139,Beauty,959,1552063.13,509812.34,28,49782.32,28,2.92,3.21,32.85,Moderate Return Risk
PROD0133,Beauty Skincare 133,Beauty,996,11185131.49,3864810.37,29,358930.68,25,2.91,3.21,34.55,Moderate Return Risk
PROD0162,Sports Outdoor 162,Sports,997,13419148.49,4718120.12,29,429262.93,23,2.91,3.2,35.16,Moderate Return Risk
PROD0075,Fashion Men 075,Fashion,965,14326240.17,4250839.22,28,458032.12,23,2.9,3.2,29.67,Moderate Return Risk
PROD0158,Sports Fitness 158,Sports,1001,14620445.39,3525201.23,29,467166.22,28,2.9,3.2,24.11,Moderate Return Risk
PROD0033,Electronics Smartphones 033,Electronics,976,7809945.74,1289582.54,28,246917.72,27,2.87,3.16,16.51,Moderate Return Risk
PROD0100,Fashion Women 100,Fashion,974,3622262.32,919305.18,28,114540.72,27,2.87,3.16,25.38,Moderate Return Risk
PROD0005,Electronics Accessories 005,Electronics,1013,4945620.32,375977.32,29,156479.07,26,2.86,3.16,7.6,Moderate Return Risk
PROD0108,Fashion Accessories 108,Fashion,1013,11340007.25,1903000.55,29,358497.13,27,2.86,3.16,16.78,Moderate Return Risk
PROD0140,Beauty Haircare 140,Beauty,1054,15407580.42,5337643.34,30,481751.1,27,2.85,3.13,34.64,Moderate Return Risk
PROD0163,Sports Fitness 163,Sports,981,8838938.5,2534404.66,28,277141.48,25,2.85,3.14,28.67,Moderate Return Risk
PROD0165,Sports Outdoor 165,Sports,986,10340829.74,1371897.66,28,321664.56,23,2.84,3.11,13.27,Moderate Return Risk
PROD0118,Beauty Fragrance 118,Beauty,955,10161863.89,1779819.34,27,315964.53,27,2.83,3.11,17.51,Moderate Return Risk
PROD0147,Sports Outdoor 147,Sports,1023,4866632.88,1514251.65,29,151197.01,27,2.83,3.11,31.11,Moderate Return Risk
PROD0031,Electronics Accessories 031,Electronics,993,3015962.42,970759.76,28,93749.88,26,2.82,3.11,32.19,Moderate Return Risk
PROD0021,Electronics Laptops 021,Electronics,963,16141749.44,5571611.06,27,499496.22,24,2.8,3.09,34.52,Moderate Return Risk
PROD0045,Home Kitchen 045,Home,893,2351984.6,706140.95,25,72106.0,22,2.8,3.07,30.02,Moderate Return Risk
PROD0136,Beauty Fragrance 136,Beauty,928,12274044.36,1273523.08,26,378767.74,24,2.8,3.09,10.38,Moderate Return Risk
PROD0002,Electronics Laptops 002,Electronics,1045,5822873.37,1156028.77,29,177172.6,27,2.78,3.04,19.85,Moderate Return Risk
PROD0130,Beauty Haircare 130,Beauty,978,8110542.01,2799640.15,27,246128.22,25,2.76,3.03,34.52,Moderate Return Risk
PROD0025,Electronics Laptops 025,Electronics,1020,4915828.54,1571717.74,28,147988.4,25,2.75,3.01,31.97,Moderate Return Risk
PROD0164,Sports Equipment 164,Sports,1063,14899523.0,3809244.0,29,449372.4,27,2.73,3.02,25.57,Moderate Return Risk
PROD0053,Home Appliances 053,Home,1033,1944441.47,336835.22,28,58390.36,26,2.71,3.0,17.32,Moderate Return Risk
PROD0022,Electronics Accessories 022,Electronics,931,13222946.68,2433578.37,25,392364.25,22,2.69,2.97,18.4,Moderate Return Risk
PROD0029,Electronics Audio 029,Electronics,968,12114330.6,2897857.4,26,358214.74,24,2.69,2.96,23.92,Moderate Return Risk
PROD0142,Beauty Skincare 142,Beauty,1005,1947163.23,174715.08,27,57614.49,24,2.69,2.96,8.97,Moderate Return Risk
PROD0175,Sports Sportswear 175,Sports,1042,7631121.83,1165480.57,28,225868.44,27,2.69,2.96,15.27,Moderate Return Risk
PROD0026,Electronics Audio 026,Electronics,1043,11376568.95,4047022.04,28,336733.32,24,2.68,2.96,35.57,Moderate Return Risk
PROD0132,Beauty Haircare 132,Beauty,935,3298617.29,609884.54,25,97538.75,23,2.67,2.96,18.49,Moderate Return Risk
PROD0072,Home Kitchen 072,Home,901,5568489.57,572741.9,24,163530.48,21,2.66,2.94,10.29,Moderate Return Risk
PROD0044,Home Kitchen 044,Home,942,11640030.1,2574740.2,25,342049.0,23,2.65,2.94,22.12,Moderate Return Risk
PROD0111,Beauty Skincare 111,Beauty,980,4092422.91,1270650.11,26,119314.0,25,2.65,2.92,31.05,Moderate Return Risk
PROD0020,Electronics Audio 020,Electronics,948,3535385.08,1286501.56,25,103107.25,23,2.64,2.92,36.39,Low Return Risk
PROD0167,Sports Outdoor 167,Sports,1021,11320520.94,2614790.87,27,328614.03,25,2.64,2.9,23.1,Low Return Risk
PROD0015,Electronics Accessories 015,Electronics,990,16277749.88,4558486.28,26,470174.38,24,2.63,2.89,28.0,Low Return Risk
PROD0008,Electronics Audio 008,Electronics,915,7422567.45,2681366.85,24,213398.64,23,2.62,2.87,36.12,Low Return Risk
PROD0030,Electronics Accessories 030,Electronics,1030,9668409.83,2937287.73,27,279604.98,24,2.62,2.89,30.38,Low Return Risk
PROD0073,Fashion Accessories 073,Fashion,954,7519212.49,2621395.57,25,216406.25,23,2.62,2.88,34.86,Low Return Risk
PROD0122,Beauty Haircare 122,Beauty,1105,6379232.32,1209743.97,29,183918.87,27,2.62,2.88,18.96,Low Return Risk
PROD0160,Sports Equipment 160,Sports,994,8178419.95,2454808.91,26,235458.08,23,2.62,2.88,30.02,Low Return Risk
PROD0071,Home Decor 071,Home,996,9382825.05,1125497.01,26,270927.54,21,2.61,2.89,12.0,Low Return Risk
PROD0027,Electronics Accessories 027,Electronics,963,9028928.44,1116718.21,25,257466.25,21,2.6,2.85,12.37,Low Return Risk
PROD0068,Home Appliances 068,Home,1120,14245044.18,1430967.38,29,407663.73,27,2.59,2.86,10.05,Low Return Risk
PROD0114,Beauty Skincare 114,Beauty,967,4885350.35,1072923.84,25,138677.5,23,2.59,2.84,21.96,Low Return Risk
PROD0176,Sports Equipment 176,Sports,927,10067649.15,3621189.18,24,288160.56,21,2.59,2.86,35.97,Low Return Risk
PROD0104,Fashion Women 104,Fashion,1050,5084164.58,1420305.08,27,143747.19,27,2.57,2.83,27.94,Low Return Risk
PROD0060,Home Kitchen 060,Home,937,12902683.76,2775231.7,24,364534.08,22,2.56,2.83,21.51,Low Return Risk
PROD0010,Electronics Smartphones 010,Electronics,1021,10930313.67,1653323.89,26,306072.26,21,2.55,2.8,15.13,Low Return Risk
PROD0083,Fashion Accessories 083,Fashion,979,12077062.89,4272817.54,25,340873.25,22,2.55,2.82,35.38,Low Return Risk
PROD0012,Electronics Laptops 012,Electronics,1022,309532.23,80123.89,26,8657.22,20,2.54,2.8,25.89,Low Return Risk
PROD0038,Home Furniture 038,Home,1061,5714660.38,467527.32,27,160007.94,24,2.54,2.8,8.18,Low Return Risk
PROD0055,Home Appliances 055,Home,946,720259.85,257609.09,24,19971.6,23,2.54,2.77,35.77,Low Return Risk
PROD0085,Fashion Men 085,Fashion,1061,7127486.88,722728.55,27,199122.57,23,2.54,2.79,10.14,Low Return Risk
PROD0056,Home Furniture 056,Home,1071,3939274.53,390173.31,27,109414.8,24,2.52,2.78,9.9,Low Return Risk
PROD0157,Sports Fitness 157,Sports,998,12978297.41,2012473.01,25,358077.0,23,2.51,2.76,15.51,Low Return Risk
PROD0089,Fashion Women 089,Fashion,925,15402986.3,4518872.05,23,422155.11,21,2.49,2.74,29.34,Low Return Risk
PROD0003,Electronics Smartphones 003,Electronics,968,13862082.21,2928493.17,24,380209.68,21,2.48,2.74,21.13,Low Return Risk
PROD0007,Electronics Audio 007,Electronics,966,5796805.84,1441932.94,24,158885.52,23,2.48,2.74,24.87,Low Return Risk
PROD0171,Sports Equipment 171,Sports,973,11857956.25,2445884.0,24,320407.44,24,2.47,2.7,20.63,Low Return Risk
PROD0028,Electronics Audio 028,Electronics,940,17153275.64,6028479.04,23,459140.72,21,2.45,2.68,35.14,Low Return Risk
PROD0170,Sports Fitness 170,Sports,984,13468665.33,1687390.77,24,362086.08,24,2.44,2.69,12.53,Low Return Risk
PROD0023,Electronics Laptops 023,Electronics,1028,11352877.46,1779062.06,25,302363.5,23,2.43,2.66,15.67,Low Return Risk
PROD0109,Beauty Skincare 109,Beauty,1072,8737357.05,3188567.13,26,233263.16,23,2.43,2.67,36.49,Low Return Risk
PROD0159,Sports Fitness 159,Sports,907,2377201.51,811538.11,22,63364.4,20,2.43,2.67,34.14,Low Return Risk
PROD0096,Fashion Women 096,Fashion,996,2268278.61,562688.37,24,60197.04,22,2.41,2.65,24.81,Low Return Risk
PROD0057,Home Furniture 057,Home,924,7924170.5,1273625.06,22,206357.8,19,2.38,2.6,16.07,Low Return Risk
PROD0059,Home Furniture 059,Home,1008,3669705.48,336904.68,24,96773.52,22,2.38,2.64,9.18,Low Return Risk
PROD0146,Sports Sportswear 146,Sports,1091,2839769.38,408737.72,26,74869.6,23,2.38,2.64,14.39,Low Return Risk
PROD0051,Home Kitchen 051,Home,1017,6647724.23,897138.41,24,173875.2,19,2.36,2.62,13.5,Low Return Risk
PROD0095,Fashion Accessories 095,Fashion,937,1814950.69,242186.82,22,46951.74,21,2.35,2.59,13.34,Low Return Risk
PROD0024,Electronics Audio 024,Electronics,941,5719765.54,857317.42,22,146808.2,21,2.34,2.57,14.99,Low Return Risk
PROD0011,Electronics Accessories 011,Electronics,988,4219050.09,1075658.93,23,108359.21,23,2.33,2.57,25.5,Low Return Risk
PROD0129,Beauty Fragrance 129,Beauty,1028,4830016.83,1367034.35,24,123931.92,22,2.33,2.57,28.3,Low Return Risk
PROD0093,Fashion Men 093,Fashion,948,11839109.06,2604441.98,22,301959.02,21,2.32,2.55,22.0,Low Return Risk
PROD0097,Fashion Men 097,Fashion,1037,10359326.27,3605697.85,24,264000.96,22,2.31,2.55,34.81,Low Return Risk
PROD0081,Fashion Men 081,Fashion,1004,231325.01,65976.25,23,5873.97,23,2.29,2.54,28.52,Low Return Risk
PROD0131,Beauty Haircare 131,Beauty,1061,8485224.09,1817677.28,24,210568.56,23,2.26,2.48,21.42,Low Return Risk
PROD0047,Home Appliances 047,Home,984,6427849.5,913237.98,22,158020.06,21,2.24,2.46,14.21,Low Return Risk
PROD0149,Sports Equipment 149,Sports,938,12876719.42,4104337.06,21,316617.21,20,2.24,2.46,31.87,Low Return Risk
PROD0156,Sports Fitness 156,Sports,1073,871489.51,62747.95,24,21396.48,22,2.24,2.46,7.2,Low Return Risk
PROD0016,Electronics Laptops 016,Electronics,1049,4830825.62,1504950.14,23,116977.31,22,2.19,2.42,31.15,Low Return Risk
PROD0066,Home Appliances 066,Home,1057,5913084.55,851344.09,23,141117.88,20,2.18,2.39,14.4,Low Return Risk
PROD0004,Electronics Accessories 004,Electronics,877,12675566.66,2687387.35,19,302220.84,17,2.17,2.38,21.2,Low Return Risk
PROD0127,Beauty Skincare 127,Beauty,966,2513813.77,391125.37,21,59872.47,19,2.17,2.38,15.56,Low Return Risk
PROD0115,Beauty Skincare 115,Beauty,932,14377843.95,3539848.95,20,338619.0,19,2.15,2.36,24.62,Low Return Risk
PROD0042,Home Decor 042,Home,981,17183296.19,5953161.35,21,403965.24,20,2.14,2.35,34.65,Low Return Risk
PROD0043,Home Appliances 043,Home,1030,16928062.1,5368732.6,22,397675.74,21,2.14,2.35,31.71,Low Return Risk
PROD0090,Fashion Men 090,Fashion,992,5739622.04,983170.52,21,133435.68,19,2.12,2.32,17.13,Low Return Risk
PROD0074,Fashion Men 074,Fashion,1046,2595973.52,280537.46,22,60407.16,19,2.1,2.33,10.81,Low Return Risk
PROD0152,Sports Equipment 152,Sports,904,6735669.72,1725647.48,19,154969.32,18,2.1,2.3,25.62,Low Return Risk
PROD0091,Fashion Women 091,Fashion,957,2040562.57,732975.19,20,46900.0,18,2.09,2.3,35.92,Low Return Risk
PROD0125,Beauty Fragrance 125,Beauty,956,10665973.48,1008987.28,20,244019.6,18,2.09,2.29,9.46,Low Return Risk
PROD0150,Sports Fitness 150,Sports,1098,1295650.7,181422.26,23,29931.51,22,2.09,2.31,14.0,Low Return Risk
PROD0110,Beauty Skincare 110,Beauty,1008,410210.08,75755.68,21,9419.34,18,2.08,2.3,18.47,Low Return Risk
PROD0161,Sports Sportswear 161,Sports,962,13770569.44,3580411.28,20,315305.8,19,2.08,2.29,26.0,Low Return Risk
PROD0094,Fashion Accessories 094,Fashion,972,11189512.18,2117330.74,20,253547.0,19,2.06,2.27,18.92,Low Return Risk
PROD0137,Beauty Haircare 137,Beauty,942,1824397.12,502855.9,19,40580.58,18,2.02,2.22,27.56,Low Return Risk
PROD0063,Home Furniture 063,Home,1052,4039945.96,1485826.72,21,88662.84,20,2.0,2.19,36.78,Low Return Risk
PROD0006,Electronics Accessories 006,Electronics,1005,12525018.38,3209783.93,20,273502.8,17,1.99,2.18,25.63,Low Return Risk
PROD0135,Beauty Skincare 135,Beauty,903,9514430.45,1569258.53,18,209042.1,16,1.99,2.2,16.49,Low Return Risk
PROD0046,Home Appliances 046,Home,1052,5504589.95,1403515.23,20,115341.8,19,1.9,2.1,25.5,Low Return Risk
PROD0078,Fashion Men 078,Fashion,1052,11211509.1,2846688.9,20,236321.6,19,1.9,2.11,25.39,Low Return Risk
PROD0017,Electronics Laptops 017,Electronics,952,8639374.58,794256.74,18,179764.74,16,1.89,2.08,9.19,Low Return Risk
PROD0128,Beauty Makeup 128,Beauty,966,5671667.17,2089024.33,18,116794.08,18,1.86,2.06,36.83,Low Return Risk
PROD0052,Home Appliances 052,Home,819,12117224.31,2367856.5,15,245067.15,14,1.83,2.02,19.54,Low Return Risk
PROD0092,Fashion Footwear 092,Fashion,1093,3038555.99,695131.2,20,61399.0,20,1.83,2.02,22.88,Low Return Risk
PROD0009,Electronics Audio 009,Electronics,934,5879039.55,1479058.95,17,118866.38,15,1.82,2.02,25.16,Low Return Risk
PROD0112,Beauty Fragrance 112,Beauty,1081,18542050.87,6856343.58,19,359199.18,17,1.76,1.94,36.98,Low Return Risk
PROD0050,Home Kitchen 050,Home,980,6793634.34,688048.14,17,129355.38,17,1.73,1.9,10.13,Low Return Risk
PROD0138,Beauty Skincare 138,Beauty,986,11385238.28,3338492.28,17,214215.3,16,1.72,1.88,29.32,Low Return Risk
PROD0079,Fashion Footwear 079,Fashion,995,5037332.29,1509390.64,17,94746.61,16,1.71,1.88,29.96,Low Return Risk
PROD0148,Sports Equipment 148,Sports,1061,8423437.54,855685.28,18,157713.66,16,1.7,1.87,10.16,Low Return Risk
PROD0177,Sports Equipment 177,Sports,1060,6260162.52,1831524.92,18,117158.4,17,1.7,1.87,29.26,Low Return Risk
PROD0013,Electronics Audio 013,Electronics,963,9081876.65,2133263.48,16,165600.0,14,1.66,1.82,23.49,Low Return Risk
PROD0102,Fashion Men 102,Fashion,1084,5193037.35,1802144.43,18,94981.68,16,1.66,1.83,34.7,Low Return Risk
PROD0121,Beauty Fragrance 121,Beauty,1027,14663693.49,3773231.44,17,267448.42,16,1.66,1.82,25.73,Low Return Risk
PROD0080,Fashion Footwear 080,Fashion,988,6350622.5,1029126.06,16,113706.4,16,1.62,1.79,16.21,Low Return Risk
PROD0119,Beauty Skincare 119,Beauty,991,14098989.8,4900577.35,16,250181.12,15,1.61,1.77,34.76,Low Return Risk
PROD0014,Electronics Accessories 014,Electronics,995,6236013.15,1588248.75,14,96917.38,13,1.41,1.55,25.47,Low Return Risk
PROD0049,Home Kitchen 049,Home,1019,1202530.25,142332.08,14,18141.48,14,1.37,1.51,11.84,Low Return Risk
PROD0113,Beauty Haircare 113,Beauty,964,12612426.83,1429091.75,13,187527.34,13,1.35,1.49,11.33,Low Return Risk
PROD0145,Sports Sportswear 145,Sports,902,844978.11,188267.99,12,12354.36,12,1.33,1.46,22.28,Low Return Risk
PROD0174,Sports Outdoor 174,Sports,899,1912457.0,220494.05,12,27994.44,11,1.33,1.46,11.53,Low Return Risk
PROD0107,Fashion Women 107,Fashion,984,7326943.97,554878.85,11,89647.36,9,1.12,1.22,7.57,Low Return Risk
PROD0169,Sports Equipment 169,Sports,980,5674078.61,1872492.01,11,69903.68,10,1.12,1.23,33.0,Low Return Risk
