Region_ID,Region,Category,Orders,Customers,Units_Sold,Revenue,Cost,Profit,Profit_Margin_Percent,Average_Order_Value,Category_Revenue_Rank_In_Region,Region_Revenue_Rank_In_Category
R008,North,Sports,528,189,1222,9602243.84,7307799.11,2294444.73,23.89,18186.07,2,23
R011,North,Home,578,212,1356,9547703.3,7432979.08,2114724.22,22.15,16518.52,4,16
R005,North,Fashion,597,217,1411,9429241.94,6976382.59,2452859.35,26.01,15794.38,5,19
R008,North,Beauty,520,187,1263,9379723.35,7040812.85,2338910.5,24.94,18037.93,3,24
R011,North,Fashion,590,216,1394,9295357.35,6956069.54,2339287.81,25.17,15754.84,5,21
R008,North,Home,496,194,1251,9181254.91,7086155.26,2095099.65,22.82,18510.59,4,22
R006,North,Home,556,205,1320,9170982.76,7191820.2,1979162.56,21.58,16494.57,5,23
R008,North,Fashion,529,194,1233,8815967.77,6512796.97,2303170.8,26.12,16665.35,5,24
R019,South,Electronics,629,229,1502,14647436.08,10957912.17,3689523.91,25.19,23286.86,1,2
R016,South,Electronics,661,240,1564,14513606.89,10871252.44,3642354.45,25.1,21957.05,1,5
R018,South,Electronics,630,225,1501,14074413.79,10563755.03,3510658.76,24.94,22340.34,1,7
R020,South,Electronics,596,214,1417,13190342.17,9887331.12,3303011.05,25.04,22131.45,1,11
R022,South,Electronics,613,224,1432,13140008.43,9842995.24,3297013.19,25.09,21435.58,1,13
R023,South,Electronics,604,224,1401,12956705.28,9765051.87,3191653.41,24.63,21451.5,1,15
R017,South,Electronics,609,227,1445,12896562.32,9737260.96,3159301.36,24.5,21176.62,1,16
R021,South,Electronics,566,208,1369,12742448.72,9603505.15,3138943.57,24.63,22513.16,1,19
R016,South,Beauty,694,246,1638,12653628.67,9414099.96,3239528.71,25.6,18232.89,2,1
R018,South,Sports,680,229,1549,12144036.01,9221609.39,2922426.62,24.06,17858.88,2,2
R015,South,Beauty,592,218,1459,11993802.02,8862028.65,3131773.37,26.11,20259.8,1,4
R016,South,Fashion,684,246,1684,11651833.42,8623059.32,3028774.1,25.99,17034.84,3,2
R015,South,Electronics,558,209,1267,11479234.49,8680311.38,2798923.11,24.38,20572.1,2,22
R019,South,Sports,627,220,1509,11449775.74,8663440.97,2786334.77,24.34,18261.21,2,4
R021,South,Sports,614,214,1426,11249588.87,8574330.72,2675258.15,23.78,18321.81,2,8
R023,South,Beauty,609,223,1441,11244860.7,8399467.61,2845393.09,25.3,18464.47,2,8
R016,South,Sports,656,240,1500,11209548.41,8491109.09,2718439.32,24.25,17087.73,4,9
R018,South,Beauty,609,232,1468,10821625.85,8045962.15,2775663.7,25.65,17769.5,3,10
R019,South,Beauty,603,224,1431,10767086.07,8015386.91,2751699.16,25.56,17855.86,3,11
R016,South,Home,656,251,1616,10764826.45,8339599.95,2425226.5,22.53,16409.8,5,6
R022,South,Beauty,595,215,1432,10744991.49,7989881.1,2755110.39,25.64,18058.81,2,12
R023,South,Home,629,232,1522,10689589.33,8222577.78,2467011.55,23.08,16994.58,3,7
R018,South,Fashion,591,222,1443,10580165.07,7833728.94,2746436.13,25.96,17902.14,4,4
R017,South,Beauty,614,235,1415,10572333.53,7978690.34,2593643.19,24.53,17218.78,2,15
R019,South,Home,617,225,1450,10561038.65,8152881.77,2408156.88,22.8,17116.76,4,8
R020,South,Beauty,596,214,1402,10532384.37,7866132.35,2666252.02,25.31,17671.79,2,16
R015,South,Sports,573,208,1365,10167132.12,7732974.99,2434157.13,23.94,17743.69,3,15
R020,South,Home,568,209,1390,10165097.5,7862956.58,2302140.92,22.65,17896.3,3,11
R017,South,Home,611,227,1436,10145164.14,7951141.68,2194022.46,21.63,16604.2,3,13
R023,South,Sports,592,222,1351,10118335.51,7642852.45,2475483.06,24.47,17091.78,4,16
R023,South,Fashion,627,223,1461,10018703.27,7495571.29,2523131.98,25.18,15978.79,5,9
R022,South,Home,604,219,1363,9973329.73,7759140.83,2214188.9,22.2,16512.14,3,15
R015,South,Fashion,592,216,1405,9942007.07,7388646.92,2553360.15,25.68,16793.93,4,10
R017,South,Sports,595,227,1421,9913784.6,7445379.58,2468405.02,24.9,16661.82,4,20
R017,South,Fashion,594,230,1398,9825372.42,7254768.94,2570603.48,26.16,16541.03,5,13
R022,South,Sports,561,219,1302,9705164.78,7370601.86,2334562.92,24.05,17299.76,4,21
R021,South,Fashion,537,202,1322,9696413.68,7134406.5,2562007.18,26.42,18056.64,3,15
R020,South,Fashion,582,216,1347,9554060.47,7066356.14,2487704.33,26.04,16415.91,4,16
R020,South,Sports,544,215,1275,9467014.42,7188453.0,2278561.42,24.07,17402.6,5,24
R015,South,Home,556,214,1298,9461342.04,7343122.35,2118219.69,22.39,17016.8,5,18
R021,South,Home,575,211,1316,9423349.82,7299780.8,2123569.02,22.54,16388.43,4,19
R019,South,Fashion,589,219,1392,9391640.76,7033071.86,2358568.9,25.11,15945.06,5,20
R021,South,Beauty,574,215,1334,9349638.16,6972408.19,2377229.97,25.43,16288.57,5,25
R022,South,Fashion,553,211,1310,9129294.02,6685461.09,2443832.93,26.77,16508.67,5,22
R018,South,Home,596,224,1353,9115860.19,7149005.47,1966854.72,21.58,15295.07,5,24
R001,West,Electronics,636,223,1583,14814420.81,11076478.53,3737942.28,25.23,23293.11,1,1
R003,West,Electronics,585,207,1401,13555322.1,10045306.27,3510015.83,25.89,23171.49,1,9
R002,West,Electronics,585,216,1405,13036233.33,9794861.9,3241371.43,24.86,22284.16,1,14
R004,West,Electronics,570,219,1361,12744063.06,9591582.68,3152480.38,24.74,22358.01,1,18
R001,West,Beauty,626,228,1511,11317401.66,8527354.99,2790046.67,24.65,18078.92,2,6
R001,West,Sports,622,230,1499,11053587.71,8424033.25,2629554.46,23.79,17771.04,3,10
R002,West,Beauty,608,211,1379,10681319.0,8037442.39,2643876.61,24.75,17567.96,2,14
R004,West,Sports,625,216,1457,10575445.03,8027380.88,2548064.15,24.09,16920.71,2,11
R003,West,Beauty,583,217,1389,10439029.17,7760681.85,2678347.32,25.66,17905.71,2,17
R003,West,Sports,591,215,1391,10184315.03,7757890.6,2426424.43,23.83,17232.34,3,14
R001,West,Home,627,229,1518,10164571.16,7968850.08,2195721.08,21.6,16211.44,4,12
R002,West,Sports,563,209,1346,10076634.44,7692464.02,2384170.42,23.66,17898.11,3,17
R001,West,Fashion,609,226,1422,9941103.07,7420938.11,2520164.96,25.35,16323.65,5,11
R003,West,Fashion,595,214,1427,9937192.09,7455160.28,2482031.81,24.98,16701.16,4,12
R004,West,Beauty,563,218,1309,9764688.79,7194590.78,2570098.01,26.32,17344.03,3,22
R002,West,Home,592,212,1392,9503504.74,7359679.83,2143824.91,22.56,16053.22,4,17
R004,West,Fashion,588,215,1370,9482920.64,7010517.1,2472403.54,26.07,16127.42,4,18
R004,West,Home,554,218,1296,9383869.82,7169636.94,2214232.88,23.6,16938.39,5,20
R003,West,Home,586,218,1376,9191522.1,7114405.62,2077116.48,22.6,15685.19,5,21
R002,West,Fashion,565,213,1305,9111606.0,6696954.76,2414651.24,26.5,16126.74,5,23
