Region_ID,Region,Year,Month_Number,Actual_Revenue,Target_Revenue,Revenue_Variance,Revenue_Achievement_Percent,Actual_Profit,Target_Profit,Profit_Variance,Profit_Achievement_Percent,Actual_Units,Actual_Orders
R012,East,2024,3.0,2116553.14,,,,465408.97,,,,265,122
R013,East,2024,3.0,1626830.86,,,,383778.02,,,,222,100
R014,East,2024,3.0,1714657.55,1980880.43,-266222.88,86.56,405708.97,401995.41,3713.56,100.92,215,89
R015,South,2024,3.0,1591768.97,,,,373191.06,,,,214,95
R016,South,2024,3.0,2265707.74,2151367.12,114340.62,105.31,581644.93,358584.79,223060.14,162.21,276,115
R017,South,2024,3.0,1423248.24,,,,348331.9,,,,216,92
R018,South,2024,3.0,2205671.93,,,,542809.71,,,,287,113
R019,South,2024,3.0,1470360.6,2239178.18,-768817.58,65.67,382342.28,260274.46,122067.82,146.9,181,87
R020,South,2024,3.0,2135389.24,,,,531277.95,,,,268,106
R021,South,2024,3.0,1969394.79,1948650.64,20744.15,101.06,431868.26,335519.45,96348.81,128.72,237,86
R022,South,2024,3.0,1690796.89,2336934.47,-646137.58,72.35,429804.49,307651.38,122153.11,139.71,206,93
R023,South,2024,3.0,1378082.45,,,,317237.99,,,,196,91
R024,Central,2024,3.0,1512283.47,,,,354800.58,,,,219,80
R025,Central,2024,3.0,2258266.1,1628917.6,629348.5,138.64,581551.98,487331.61,94220.37,119.33,285,129
R001,West,2024,4.0,1877303.71,,,,376151.9,,,,250,103
R002,West,2024,4.0,1494465.66,2354100.33,-859634.67,63.48,368287.89,338192.31,30095.58,108.9,213,102
R003,West,2024,4.0,1709203.84,,,,446649.99,,,,222,82
R004,West,2024,4.0,1650700.87,,,,391210.69,,,,203,84
R005,North,2024,4.0,1959251.28,1949782.08,9469.2,100.49,489801.9,350304.75,139497.15,139.82,235,108
R006,North,2024,4.0,2532684.39,2190738.34,341946.05,115.61,587051.0,322900.86,264150.14,181.81,292,108
R007,North,2024,4.0,2021022.5,,,,459890.83,,,,268,107
R008,North,2024,4.0,1417712.47,,,,345143.54,,,,192,81
R009,North,2024,4.0,1523240.56,2770046.14,-1246805.58,54.99,372302.51,421214.21,-48911.7,88.39,219,86
R010,North,2024,4.0,1757748.44,2267491.12,-509742.68,77.52,376310.03,276578.11,99731.92,136.06,228,98
R011,North,2024,4.0,1322511.57,2224000.74,-901489.17,59.47,328071.78,397699.19,-69627.41,82.49,184,80
R012,East,2024,4.0,1810802.39,,,,449329.47,,,,219,110
R013,East,2024,4.0,1814933.85,,,,423620.94,,,,241,103
R014,East,2024,4.0,1270566.41,2283866.82,-1013300.41,55.63,306784.48,372198.99,-65414.51,82.42,171,81
R015,South,2024,4.0,1677974.21,,,,381377.19,,,,206,82
R016,South,2024,4.0,1996575.98,2106852.96,-110276.98,94.77,498337.63,483395.36,14942.27,103.09,279,115
R017,South,2024,4.0,1642070.87,,,,360446.61,,,,226,93
R018,South,2024,4.0,2035076.43,,,,476040.39,,,,282,116
R019,South,2024,4.0,1981556.24,2070039.38,-88483.14,95.73,463974.79,494849.85,-30875.06,93.76,251,108
R020,South,2024,4.0,1919087.33,,,,410003.9,,,,240,103
R021,South,2024,4.0,1669823.57,,,,403809.95,,,,223,89
R022,South,2024,4.0,1949661.33,1997481.61,-47820.28,97.61,470864.38,340755.92,130108.46,138.18,247,106
R023,South,2024,4.0,1846795.19,,,,438032.02,,,,252,111
R024,Central,2024,4.0,1779166.66,,,,432822.97,,,,227,101
R025,Central,2024,4.0,1569588.27,,,,357591.01,,,,238,103
R001,West,2024,5.0,2088426.86,,,,526052.12,,,,244,109
R002,West,2024,5.0,1609705.96,,,,387901.73,,,,216,78
R003,West,2024,5.0,1767702.9,,,,432740.12,,,,230,100
R004,West,2024,5.0,1885921.16,,,,446424.59,,,,237,105
R005,North,2024,5.0,1795339.26,1676002.41,119336.85,107.12,469590.54,320468.83,149121.71,146.53,221,92
R006,North,2024,5.0,1651532.04,,,,397423.17,,,,214,87
R007,North,2024,5.0,2270807.91,2063718.72,207089.19,110.03,511128.25,319961.79,191166.46,159.75,282,110
R008,North,2024,5.0,1632189.92,,,,413686.41,,,,199,79
R009,North,2024,5.0,2008167.02,1973050.91,35116.11,101.78,495339.26,496232.4,-893.14,99.82,258,112
R010,North,2024,5.0,2011884.06,1868534.94,143349.12,107.67,495411.02,435203.5,60207.52,113.83,229,96
R011,North,2024,5.0,2148977.43,,,,549261.62,,,,248,112
R012,East,2024,5.0,2057686.22,1939042.29,118643.93,106.12,528934.37,418410.04,110524.33,126.42,295,120
R013,East,2024,5.0,1911822.67,,,,440887.26,,,,251,103
R014,East,2024,5.0,1527181.84,2499262.68,-972080.84,61.11,356107.64,419918.58,-63810.94,84.8,210,91
R015,South,2024,5.0,1225276.06,2473658.04,-1248381.98,49.53,302121.06,391362.05,-89240.99,77.2,158,76
R016,South,2024,5.0,2032663.4,,,,504166.7,,,,261,111
R017,South,2024,5.0,2284809.25,,,,547505.59,,,,295,114
R018,South,2024,5.0,1813450.56,,,,463633.21,,,,231,94
R019,South,2024,5.0,2041433.32,,,,497799.43,,,,274,100
R020,South,2024,5.0,1895486.7,,,,507563.09,,,,227,100
R021,South,2024,5.0,2327007.01,1713983.63,613023.38,135.77,551915.97,323651.15,228264.82,170.53,276,118
R022,South,2024,5.0,2160905.17,2617588.49,-456683.32,82.55,539415.09,362011.51,177403.58,149.0,243,98
R023,South,2024,5.0,2219031.72,,,,546622.36,,,,281,122
R024,Central,2024,5.0,1897851.32,1743708.5,154142.82,108.84,453131.91,282423.68,170708.23,160.44,244,102
R025,Central,2024,5.0,1569360.22,,,,389637.12,,,,214,104
R001,West,2024,6.0,1672594.81,2610584.48,-937989.67,64.07,391640.11,320289.0,71351.11,122.28,249,103
R002,West,2024,6.0,1395277.27,,,,353294.76,,,,183,77
R003,West,2024,6.0,1692027.66,,,,406183.72,,,,243,104
R004,West,2024,6.0,1789635.67,2294765.84,-505130.17,77.99,446283.09,375214.68,71068.41,118.94,245,110
R005,North,2024,6.0,2390652.62,2141898.84,248753.78,111.61,610472.89,267973.65,342499.24,227.81,281,121
R006,North,2024,6.0,1691789.51,,,,391481.43,,,,229,92
R007,North,2024,6.0,1597020.39,2335524.99,-738504.6,68.38,398576.28,504851.25,-106274.97,78.95,191,96
R008,North,2024,6.0,1571938.2,2035410.56,-463472.36,77.23,450701.19,354578.07,96123.12,127.11,182,79
R009,North,2024,6.0,1808722.89,,,,445534.21,,,,248,108
R010,North,2024,6.0,2701745.19,,,,652085.37,,,,348,132
R011,North,2024,6.0,1732009.85,,,,398714.2,,,,239,103
R012,East,2024,6.0,1621371.7,1991996.37,-370624.67,81.39,377194.04,371337.49,5856.55,101.58,226,103
R013,East,2024,6.0,2142564.38,,,,568608.01,,,,248,108
R014,East,2024,6.0,1026586.41,,,,252695.67,,,,153,72
R015,South,2024,6.0,1761973.73,1717236.32,44737.41,102.61,403315.1,360186.65,43128.45,111.97,226,90
R016,South,2024,6.0,2161526.51,,,,553768.23,,,,266,120
R017,South,2024,6.0,1600532.69,1885177.92,-284645.23,84.9,367029.36,456945.59,-89916.23,80.32,221,97
R018,South,2024,6.0,2292206.95,,,,550886.15,,,,290,120
R019,South,2024,6.0,2226095.89,1677423.01,548672.88,132.71,536911.17,455509.33,81401.84,117.87,268,101
R020,South,2024,6.0,1944584.35,,,,457793.66,,,,233,100
R021,South,2024,6.0,1612889.1,,,,387958.89,,,,191,97
R022,South,2024,6.0,1880043.7,2574851.67,-694807.97,73.02,485876.38,392061.79,93814.59,123.93,224,96
R023,South,2024,6.0,2023929.69,,,,501229.1,,,,254,114
R024,Central,2024,6.0,1147027.6,,,,262028.81,,,,165,84
R025,Central,2024,6.0,1910320.99,,,,472618.32,,,,242,108
R001,West,2024,7.0,2007077.53,,,,484811.22,,,,263,110
R002,West,2024,7.0,2084031.13,2296014.42,-211983.29,90.77,511841.07,548323.47,-36482.4,93.35,253,110
R003,West,2024,7.0,1394614.4,1830506.23,-435891.83,76.19,282963.57,448426.7,-165463.13,63.1,222,105
R004,West,2024,7.0,1932242.82,1693648.29,238594.53,114.09,439414.68,290148.59,149266.09,151.44,271,110
R005,North,2024,7.0,1528877.94,2373957.73,-845079.79,64.4,390300.16,287786.59,102513.57,135.62,205,85
R006,North,2024,7.0,1960103.48,,,,457566.32,,,,234,93
R007,North,2024,7.0,1500748.57,,,,376922.61,,,,225,98
R008,North,2024,7.0,1452558.27,2904873.73,-1452315.46,50.0,383879.76,317345.51,66534.25,120.97,198,83
R009,North,2024,7.0,2337947.93,1818557.41,519390.52,128.56,598044.59,514669.67,83374.92,116.2,308,126
R010,North,2024,7.0,2092496.85,,,,468056.22,,,,283,123
R011,North,2024,7.0,1601300.53,,,,372308.99,,,,210,90
R012,East,2024,7.0,1528210.85,,,,356450.45,,,,199,104
R013,East,2024,7.0,1663902.68,,,,369841.7,,,,233,100
R014,East,2024,7.0,1570975.38,,,,394452.04,,,,223,96
R015,South,2024,7.0,1872369.4,,,,475432.9,,,,231,98
R016,South,2024,7.0,2180873.89,2086703.31,94170.58,104.51,530858.23,387886.3,142971.93,136.86,287,127
R017,South,2024,7.0,1786189.28,,,,425551.18,,,,231,94
R018,South,2024,7.0,2351662.24,,,,592591.71,,,,271,114
R019,South,2024,7.0,1604580.15,,,,382303.7,,,,223,115
R020,South,2024,7.0,1730588.32,,,,417858.01,,,,226,91
R021,South,2024,7.0,1794849.19,,,,455593.91,,,,234,95
R022,South,2024,7.0,1441999.38,2022048.27,-580048.89,71.31,349620.1,404677.29,-55057.19,86.39,206,85
R023,South,2024,7.0,1885702.09,2043316.58,-157614.49,92.29,426534.11,373829.5,52704.61,114.1,237,97
R024,Central,2024,7.0,1669654.72,,,,326424.76,,,,231,89
R025,Central,2024,7.0,1565323.49,1705908.52,-140585.03,91.76,398147.81,484024.81,-85877.0,82.26,211,95
R001,West,2024,8.0,1625426.51,1846675.68,-221249.17,88.02,379721.6,249605.32,130116.28,152.13,253,114
R002,West,2024,8.0,1994194.95,,,,454633.47,,,,271,114
R003,West,2024,8.0,2442749.29,,,,636330.82,,,,299,120
R004,West,2024,8.0,2004592.18,,,,518680.32,,,,256,116
R005,North,2024,8.0,1952031.65,2079342.63,-127310.98,93.88,446515.28,389510.29,57004.99,114.64,249,108
R006,North,2024,8.0,1898409.97,,,,481454.33,,,,243,110
R007,North,2024,8.0,1925098.28,,,,448414.2,,,,257,110
R008,North,2024,8.0,1586126.39,,,,378841.69,,,,229,90
R009,North,2024,8.0,2207327.37,,,,603210.03,,,,277,121
R010,North,2024,8.0,2079800.44,2141079.79,-61279.35,97.14,492015.54,446733.52,45282.02,110.14,253,111
R011,North,2024,8.0,2015097.89,1813304.52,201793.37,111.13,538405.98,295708.77,242697.21,182.07,229,98
R012,East,2024,8.0,2118939.74,,,,548233.5,,,,276,117
R013,East,2024,8.0,2015233.46,,,,515526.91,,,,233,95
R014,East,2024,8.0,1761062.82,,,,427133.55,,,,225,98
R015,South,2024,8.0,2026563.48,,,,516146.35,,,,222,100
R016,South,2024,8.0,2303839.93,2279015.55,24824.38,101.09,591082.39,315610.67,275471.72,187.28,276,122
R017,South,2024,8.0,1899232.88,1924133.29,-24900.41,98.71,459318.33,392772.59,66545.74,116.94,232,100
R018,South,2024,8.0,2171604.71,2469266.09,-297661.38,87.95,552172.9,436588.86,115584.04,126.47,298,129
R019,South,2024,8.0,2240167.17,,,,525965.85,,,,281,109
R020,South,2024,8.0,1798968.22,,,,404255.06,,,,238,97
R021,South,2024,8.0,1966788.76,1890969.02,75819.74,104.01,472586.24,338658.3,133927.94,139.55,258,108
R022,South,2024,8.0,1430862.2,1995777.63,-564915.43,71.69,358763.62,397174.38,-38410.76,90.33,168,84
R023,South,2024,8.0,1697103.0,,,,388758.2,,,,218,96
R024,Central,2024,8.0,1619925.15,,,,410850.07,,,,235,98
R025,Central,2024,8.0,1679309.27,2026946.46,-347637.19,82.85,434642.09,261490.1,173151.99,166.22,220,92
R001,West,2024,9.0,1602076.53,2076419.66,-474343.13,77.16,376420.59,441871.35,-65450.76,85.19,228,105
R002,West,2024,9.0,1572891.08,,,,344075.58,,,,214,95
R003,West,2024,9.0,1785379.15,,,,464438.94,,,,217,97
R004,West,2024,9.0,1711177.96,,,,419090.38,,,,214,94
R005,North,2024,9.0,1993262.34,1741810.69,251451.65,114.44,483065.7,425395.04,57670.66,113.56,228,100
R006,North,2024,9.0,1757758.88,2121894.19,-364135.31,82.84,456745.06,395308.38,61436.68,115.54,206,95
R007,North,2024,9.0,1319892.0,2219005.58,-899113.58,59.48,333757.88,304242.07,29515.81,109.7,211,92
R008,North,2024,9.0,1542138.39,,,,364024.66,,,,193,78
R009,North,2024,9.0,1580421.23,2297874.81,-717453.58,68.78,396436.33,326735.25,69701.08,121.33,233,97
R010,North,2024,9.0,1646935.0,,,,398772.65,,,,241,101
R011,North,2024,9.0,1866630.02,,,,491773.73,,,,222,95
R012,East,2024,9.0,1805683.15,1995321.65,-189638.5,90.5,424262.65,358869.56,65393.09,118.22,211,101
R013,East,2024,9.0,1761846.81,2736832.76,-974985.95,64.38,418310.84,357018.69,61292.15,117.17,260,103
R014,East,2024,9.0,1053624.12,,,,272891.69,,,,164,76
R015,South,2024,9.0,1814194.36,,,,474134.35,,,,207,91
R016,South,2024,9.0,2022346.37,,,,512156.78,,,,232,90
R017,South,2024,9.0,1569492.22,2305193.59,-735701.37,68.09,392152.44,321491.32,70661.12,121.98,225,98
R018,South,2024,9.0,1839506.99,,,,428131.16,,,,228,102
R019,South,2024,9.0,1499189.7,2251997.2,-752807.5,66.57,343280.92,438245.02,-94964.1,78.33,214,102
R020,South,2024,9.0,1861262.84,,,,458771.45,,,,233,100
R021,South,2024,9.0,1852344.9,,,,470547.03,,,,193,90
R022,South,2024,9.0,2129586.76,,,,539498.52,,,,288,109
R023,South,2024,9.0,1649989.35,,,,414332.14,,,,227,94
R024,Central,2024,9.0,1538223.38,2620464.67,-1082241.29,58.7,404030.32,306097.23,97933.09,131.99,207,92
R025,Central,2024,9.0,1889053.4,,,,472165.11,,,,234,102
R001,West,2024,10.0,1986715.91,1999920.31,-13204.4,99.34,482597.1,439369.69,43227.41,109.84,277,115
R002,West,2024,10.0,2086949.89,2182205.71,-95255.82,95.63,502673.2,309132.22,193540.98,162.61,262,99
R003,West,2024,10.0,1946437.38,2395746.54,-449309.16,81.25,465171.27,323628.36,141542.91,143.74,269,105
R004,West,2024,10.0,1297374.37,,,,348559.37,,,,174,76
R005,North,2024,10.0,1933344.62,,,,456375.65,,,,250,99
R006,North,2024,10.0,1360006.29,,,,341137.76,,,,207,98
R007,North,2024,10.0,1765141.38,,,,377511.76,,,,234,101
R008,North,2024,10.0,1704835.34,,,,432901.0,,,,206,99
R009,North,2024,10.0,2024728.12,,,,455918.63,,,,266,107
R010,North,2024,10.0,1985862.2,1755843.93,230018.27,113.1,468379.07,465662.27,2716.8,100.58,276,120
R011,North,2024,10.0,1541636.92,2707182.58,-1165545.66,56.95,363022.08,442393.16,-79371.08,82.06,217,93
R012,East,2024,10.0,2129327.55,1364899.48,764428.07,156.01,504368.96,497910.61,6458.35,101.3,235,98
R013,East,2024,10.0,1747663.07,2070767.27,-323104.2,84.4,405690.99,360041.81,45649.18,112.68,240,108
R014,East,2024,10.0,1873999.71,,,,495493.32,,,,234,95
R015,South,2024,10.0,1939191.35,1513169.69,426021.66,128.15,472532.38,384831.52,87700.86,122.79,261,106
R016,South,2024,10.0,1718548.01,,,,423023.79,,,,237,107
R017,South,2024,10.0,1832837.06,,,,476209.91,,,,238,106
R018,South,2024,10.0,2191056.06,2684435.73,-493379.67,81.62,544223.1,327018.13,217204.97,166.42,294,116
R019,South,2024,10.0,2162730.39,1775777.85,386952.54,121.79,535995.64,351928.56,184067.08,152.3,276,114
R020,South,2024,10.0,2436971.15,,,,580297.7,,,,307,122
R021,South,2024,10.0,2032653.55,,,,529147.11,,,,266,106
R022,South,2024,10.0,1662734.68,,,,406404.19,,,,194,85
R023,South,2024,10.0,1758662.06,,,,432470.8,,,,234,99
R024,Central,2024,10.0,2110200.68,,,,494373.32,,,,281,114
R025,Central,2024,10.0,1922045.31,,,,476880.15,,,,241,106
R001,West,2024,11.0,1642716.03,2149617.66,-506901.63,76.42,401467.76,357132.32,44335.44,112.41,225,97
R002,West,2024,11.0,1234328.38,,,,295206.36,,,,178,78
R003,West,2024,11.0,1835804.81,,,,463948.68,,,,241,94
R004,West,2024,11.0,1677128.02,,,,412388.18,,,,201,91
R005,North,2024,11.0,2201639.96,,,,556255.1,,,,289,118
R006,North,2024,11.0,1793456.77,,,,434922.1,,,,247,112
R007,North,2024,11.0,1682498.2,2078053.33,-395555.13,80.97,416957.36,340114.78,76842.58,122.59,217,92
R008,North,2024,11.0,1845104.44,2098728.56,-253624.12,87.92,410727.3,510000.66,-99273.36,80.53,238,102
R009,North,2024,11.0,1852396.16,2290984.8,-438588.64,80.86,477917.33,374069.51,103847.82,127.76,245,104
R010,North,2024,11.0,2122235.66,,,,508894.3,,,,266,109
R011,North,2024,11.0,1923004.34,,,,489931.59,,,,219,94
R012,East,2024,11.0,2136337.52,,,,517624.66,,,,306,127
R013,East,2024,11.0,1609556.59,1561425.23,48131.36,103.08,390773.61,388926.61,1847.0,100.47,225,96
R014,East,2024,11.0,1790772.1,2181329.26,-390557.16,82.1,458717.46,456262.2,2455.26,100.54,236,93
R015,South,2024,11.0,1665734.92,,,,373779.8,,,,226,96
R016,South,2024,11.0,2095928.68,,,,498426.32,,,,295,120
R017,South,2024,11.0,1561464.07,,,,404298.22,,,,216,98
R018,South,2024,11.0,1701634.14,,,,445384.09,,,,213,80
R019,South,2024,11.0,1897928.87,2819521.22,-921592.35,67.31,509828.44,431775.35,78053.09,118.08,219,95
R020,South,2024,11.0,1939323.69,1998338.66,-59014.97,97.05,475718.07,417585.08,58132.99,113.92,245,99
R021,South,2024,11.0,1749200.97,1584318.04,164882.93,110.41,412082.13,325831.57,86250.56,126.47,230,96
R022,South,2024,11.0,1879438.42,1611361.87,268076.55,116.64,464298.64,483448.51,-19149.87,96.04,236,98
R023,South,2024,11.0,2131163.06,,,,541144.61,,,,270,104
R024,Central,2024,11.0,1837435.88,,,,470735.39,,,,217,92
R025,Central,2024,11.0,2042350.38,,,,534167.02,,,,223,96
R001,West,2024,12.0,2309035.01,2596546.61,-287511.6,88.93,560464.57,355983.02,204481.55,157.44,264,98
R002,West,2024,12.0,1464656.48,1684145.92,-219489.44,86.97,359424.95,484868.96,-125444.01,74.13,218,92
R003,West,2024,12.0,1909003.86,,,,457052.56,,,,261,110
R004,West,2024,12.0,1885012.42,,,,451078.61,,,,246,107
R005,North,2024,12.0,2348133.4,2348675.91,-542.51,99.98,590051.34,434371.99,155679.35,135.84,285,114
R006,North,2024,12.0,1481250.28,1965198.33,-483948.05,75.37,336927.88,441596.08,-104668.2,76.3,219,85
R007,North,2024,12.0,1944205.3,,,,414214.39,,,,270,102
R008,North,2024,12.0,1442239.69,,,,306883.29,,,,186,77
R009,North,2024,12.0,2082839.1,,,,512705.55,,,,276,115
R010,North,2024,12.0,2287551.1,2402119.9,-114568.8,95.23,565637.55,489876.34,75761.21,115.47,271,118
R011,North,2024,12.0,2200797.21,,,,493632.85,,,,275,104
R012,East,2024,12.0,1765696.52,,,,403250.33,,,,232,92
R013,East,2024,12.0,1777677.25,1770975.52,6701.73,100.38,429856.47,367156.87,62699.6,117.08,254,109
R014,East,2024,12.0,1552080.58,,,,396516.84,,,,205,76
R015,South,2024,12.0,1868425.01,,,,473825.43,,,,244,101
R016,South,2024,12.0,2016456.13,,,,508263.7,,,,268,109
R017,South,2024,12.0,2173709.55,1758189.93,415519.62,123.63,577746.37,277860.27,299886.1,207.93,269,124
R018,South,2024,12.0,1896848.55,2427497.11,-530648.56,78.14,493847.45,488451.17,5396.28,101.1,235,97
R019,South,2024,12.0,2431675.84,,,,667901.82,,,,324,124
R020,South,2024,12.0,1509996.26,1379491.87,130504.39,109.46,368874.28,282501.68,86372.6,130.57,236,106
R021,South,2024,12.0,1615410.68,,,,389474.25,,,,211,95
R022,South,2024,12.0,1579555.84,,,,381749.32,,,,239,102
R023,South,2024,12.0,1911904.98,,,,461967.62,,,,249,106
R024,Central,2024,12.0,1887626.66,1678956.11,208670.55,112.43,481804.79,557616.18,-75811.39,86.4,228,99
R025,Central,2024,12.0,1821457.49,,,,447527.47,,,,230,95
R001,West,2025,1.0,2121557.21,,,,531943.04,,,,261,114
R002,West,2025,1.0,1869065.0,,,,489430.49,,,,227,100
R003,West,2025,1.0,1577617.6,,,,383033.86,,,,203,81
R004,West,2025,1.0,1715133.29,2154285.26,-439151.97,79.61,437717.94,394354.48,43363.46,111.0,241,109
R005,North,2025,1.0,2245503.21,2061869.03,183634.18,108.91,587464.56,391687.97,195776.59,149.98,245,111
R006,North,2025,1.0,2028635.67,,,,483546.75,,,,251,102
R007,North,2025,1.0,2106344.11,,,,521013.34,,,,274,105
R008,North,2025,1.0,1510373.49,,,,374332.81,,,,173,79
R009,North,2025,1.0,2043612.67,2906776.59,-863163.92,70.31,562825.38,434576.26,128249.12,129.51,244,104
R010,North,2025,1.0,2373725.82,,,,553656.36,,,,290,124
R011,North,2025,1.0,1613715.06,2592121.21,-978406.15,62.25,414262.71,347655.61,66607.1,119.16,201,87
R012,East,2025,1.0,1702214.25,,,,413621.74,,,,247,100
R013,East,2025,1.0,2157173.6,,,,483188.65,,,,293,113
R014,East,2025,1.0,1788646.01,,,,423042.36,,,,215,91
R015,South,2025,1.0,1881886.16,1894160.05,-12273.89,99.35,475545.97,430519.45,45026.52,110.46,235,98
R016,South,2025,1.0,2513249.95,1720433.92,792816.03,146.08,647570.73,346844.84,300725.89,186.7,342,138
R017,South,2025,1.0,1871118.86,1866425.64,4693.22,100.25,465326.93,344702.23,120624.7,134.99,252,102
R018,South,2025,1.0,1486060.22,2076330.21,-590269.99,71.57,335116.63,493137.59,-158020.96,67.96,211,98
R019,South,2025,1.0,2384560.06,2275854.17,108705.89,104.78,603512.39,393559.0,209953.39,153.35,323,128
R020,South,2025,1.0,1614235.73,,,,424093.55,,,,217,91
R021,South,2025,1.0,1484394.72,,,,394425.56,,,,186,75
R022,South,2025,1.0,1866326.73,,,,486010.4,,,,242,103
R023,South,2025,1.0,2042076.95,,,,527721.08,,,,275,125
